hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance
HDOK,PLOK,17472,13,13,-119,-3,10,2,29,-116,-117,-115,-115,-119,-114,-116,-116,-116,-118,-115,-117,-117,-118,-115,-116,-117,-118,-114,-117,-116,-116,-118,-114,-117,-118,-117,-116,-116,370,-116.34482758620689,-116.0,-116.0,0.7120181405895691
HDOK,PLOK,17472,14,14,-117,-2,10,2,29,-117,-114,-116,-101,-117,-116,-117,-116,-117,-113,-116,-118,-117,-114,-116,-116,-118,-117,-115,-117,-116,-112,-118,-116,-117,-118,-118,-117,-120,370,-115.86206896551724,-117.0,-117.0,0.8208616780045352
HDOK,PLOK,17472,15,15,-117,-2,10,2,29,-117,-115,-115,-118,-117,-116,-116,-116,-116,-116,-116,-117,-117,-116,-117,-115,-118,-119,-115,-118,-116,-116,-119,-114,-116,-118,-118,-117,-116,370,-116.55172413793103,-116.0,-116.0,0.6303854875283448
HDOK,PLOK,17472,16,16,-117,-2,10,2,29,-117,-117,-115,-113,-117,-116,-116,-116,-116,-115,-118,-118,-117,-115,-115,-117,-118,-117,-117,-116,-115,-116,-117,-115,-117,-118,-118,-117,-117,370,-116.41379310344827,-117.0,-117.0,0.6303854875283448
HDOK,PLOK,17472,17,17,-118,-2,10,2,29,-118,-118,-116,-116,-119,-118,-116,-117,-117,-116,-117,-116,-118,-116,-116,-116,-117,-117,-116,-116,-117,-117,-118,-116,-115,-117,-117,-117,-118,370,-116.82758620689656,-117.0,-116.0,0.46712018140589573
HDOK,PLOK,17472,18,18,-120,-4,10,2,29,-118,-116,-115,-114,-117,-117,-116,-117,-116,-115,-116,-117,-116,-115,-116,-116,-118,-117,-118,-117,-116,-118,-118,-117,-116,-118,-116,-117,-116,370,-116.51724137931035,-116.0,-116.0,0.43537414965986393
HDOK,PLOK,17472,19,19,-120,-4,10,2,29,-117,-116,-117,-118,-119,-117,-117,-117,-118,-117,-118,-116,-118,-119,-116,-117,-118,-117,-117,-118,-118,-117,-117,-118,-118,-118,-117,-118,-118,370,-117.44827586206897,-117.0,-118.0,0.24943310657596376
HDOK,PLOK,17472,20,20,-118,-3,10,2,29,-115,-117,-117,-118,-118,-115,-115,-117,-114,-116,-115,-115,-117,-113,-116,-117,-117,-117,-116,-117,-115,-115,-117,-117,-118,-118,-117,-114,-117,370,-116.20689655172414,-117.0,-117.0,0.7755102040816326
HDOK,PLOK,17472,21,21,-120,-4,10,2,29,-116,-115,-116,-118,-118,-118,-119,-117,-118,-119,-118,-117,-118,-117,-118,-119,-117,-119,-117,-117,-120,-118,-118,-115,-117,-118,-117,-117,-118,370,-117.55172413793103,-118.0,-118.0,0.3310657596371882
HDOK,PLOK,17472,22,22,-120,-4,10,2,29,-116,-115,-115,-116,-117,-117,-116,-115,-117,-116,-115,-117,-116,-118,-117,-117,-118,-117,-116,-114,-117,-116,-119,-117,-118,-118,-118,-116,-118,370,-116.62068965517241,-117.0,-117.0,0.603174603174603
HDOK,PLOK,17472,23,23,-118,-2,10,2,29,-116,-117,-114,-117,-118,-118,-117,-117,-118,-117,-118,-117,-117,-117,-115,-118,-113,-118,-115,-117,-117,-116,-115,-118,-117,-116,-117,-116,-118,370,-116.6896551724138,-117.0,-117.0,0.562358276643991
HDOK,PLOK,17472,24,24,-114,-1,10,2,29,-116,-114,-114,-113,-117,-113,-113,-114,-116,-116,-115,-115,-115,-113,-115,-115,-117,-115,-114,-116,-116,-117,-118,-113,-111,-117,-118,-115,-114,370,-115.0,-115.0,-115.0,1.2380952380952381
HDOK,PLOK,17472,25,25,-119,-3,10,2,29,-118,-115,-116,-114,-118,-117,-115,-117,-117,-116,-115,-117,-117,-115,-115,-116,-118,-118,-114,-114,-116,-118,-118,-115,-119,-118,-117,-117,-115,370,-116.37931034482759,-117.0,-118.0,1.1972789115646256
HDOK,PLOK,17472,26,26,-116,-1,10,2,29,-116,-115,-115,-115,-118,-116,-113,-115,-115,-114,-114,-118,-118,-116,-114,-115,-116,-115,-116,-117,-114,-116,-118,-114,-115,-117,-117,-117,-116,370,-115.6896551724138,-116.0,-115.0,0.8072562358276644
HDOK,PLOK,17472,27,27,-118,-3,10,2,29,-118,-117,-116,-117,-118,-117,-117,-116,-116,-117,-116,-119,-118,-117,-116,-117,-117,-116,-117,-115,-114,-117,-117,-115,-116,-119,-118,-118,-117,370,-116.82758620689656,-117.0,-117.0,0.40816326530612246
HDOK,PLOK,17472,28,28,-119,-3,10,2,29,-117,-116,-116,-116,-118,-114,-116,-116,-118,-114,-117,-117,-114,-115,-120,-116,-117,-119,-117,-116,-117,-117,-117,-116,-118,-118,-116,-117,-115,370,-116.55172413793103,-117.0,-117.0,0.5306122448979591
HDOK,PLOK,17472,29,29,-120,-4,10,2,29,-118,-115,-117,-113,-117,-117,-117,-116,-113,-113,-117,-118,-116,-116,-116,-121,-118,-118,-117,-117,-118,-116,-118,-116,-117,-113,-117,-116,-116,370,-116.44827586206897,-117.0,-117.0,0.603174603174603
HDOK,PLOK,17472,30,30,-119,-3,10,2,29,-118,-115,-116,-116,-117,-115,-115,-114,-118,-116,-116,-117,-117,-118,-116,-116,-118,-116,-115,-116,-116,-116,-118,-114,-117,-117,-116,-118,-116,370,-116.3103448275862,-116.0,-116.0,0.603174603174603
HDOK,PLOK,17472,31,31,-119,-3,10,2,29,-116,-118,-116,-116,-118,-116,-116,-115,-116,-116,-132,-118,-118,-116,-117,-116,-119,-116,-117,-118,-117,-117,-118,-116,-117,-118,-118,-117,-115,370,-117.34482758620689,-117.0,-116.0,0.6938775510204083
