average_rssi,rssi_variance,snr,average_snr,sf,tp,location_id
-114.0,1.768707482993197,-7.0,-7.0,10.0,2.0,302
-114.0,1.201814058956916,-7.0,-7.0,10.0,2.0,302
-114.0,0.4263038548752834,-7.0,-7.0,10.0,2.0,302
-115.0,0.8480725623582767,-8.0,-8.0,10.0,2.0,302
-111.0,0.5351473922902492,-5.0,-5.0,10.0,2.0,302
-113.0,0.8888888888888887,-6.0,-6.0,10.0,2.0,302
-113.0,0.2766439909297052,-6.0,-6.0,10.0,2.0,302
-113.0,0.603174603174603,-6.0,-6.0,10.0,2.0,302
-112.0,0.507936507936508,-6.0,-6.0,10.0,2.0,302
-113.0,0.4263038548752834,-6.0,-6.0,10.0,2.0,302
-113.0,1.201814058956916,-6.0,-6.0,10.0,2.0,302
-114.0,0.6303854875283447,-7.0,-7.0,10.0,2.0,302
-114.0,0.7528344671201814,-7.0,-7.0,10.0,2.0,302
-114.0,0.8208616780045349,-7.0,-7.0,10.0,2.0,302
-115.0,0.7936507936507935,-8.0,-8.0,10.0,2.0,302
-115.0,0.3174603174603175,-8.0,-8.0,10.0,2.0,302
-115.0,0.3809523809523809,-8.0,-8.0,10.0,2.0,302
-118.0,0.6303854875283447,-11.0,-11.0,10.0,2.0,302
-116.0,0.3310657596371882,-9.0,-9.0,10.0,2.0,302
-93.0,3.0113378684807253,7.0,7.0,10.0,2.0,306-304
-104.0,3.664399092970521,6.0,6.0,10.0,2.0,306-304
-99.0,1.6099773242630386,7.0,7.0,10.0,2.0,306-304
-100.0,2.693877551020408,7.0,7.0,10.0,2.0,306-304
-98.0,6.884353741496598,8.0,8.0,10.0,2.0,306-304
-103.0,3.419501133786848,7.0,7.0,10.0,2.0,306-304
-95.0,1.6099773242630382,8.0,8.0,10.0,2.0,306-304
-99.0,2.0,7.0,7.0,10.0,2.0,306-304
-102.0,6.616780045351473,8.0,8.0,10.0,2.0,306-304
-106.0,2.2766439909297054,6.0,6.0,10.0,2.0,306-304
-104.0,1.619047619047619,7.0,7.0,10.0,2.0,306-304
-104.0,2.2448979591836733,7.0,7.0,10.0,2.0,306-304
-99.0,1.9501133786848064,7.0,7.0,10.0,2.0,306-304
-99.0,1.6643990929705217,7.0,7.0,10.0,2.0,306-304
-100.0,4.72562358276644,6.0,6.0,10.0,2.0,306-304
-105.0,3.0113378684807257,6.0,6.0,10.0,2.0,306-304
-101.0,2.807256235827664,7.0,7.0,10.0,2.0,306-304
-98.0,7.578231292517009,8.0,8.0,10.0,2.0,306-304
-91.0,7.360544217687074,8.0,8.0,10.0,2.0,306-304
-102.0,4.789115646258503,7.0,7.0,10.0,2.0,306-304
-105.0,12.39455782312925,6.0,6.0,10.0,2.0,306-304
-99.0,0.7891156462585035,7.0,7.0,10.0,2.0,306-304
-95.0,1.9637188208616767,9.0,9.0,10.0,2.0,306-304
-96.0,4.598639455782312,4.0,4.0,10.0,2.0,306-304
-104.0,4.857142857142857,7.0,7.0,10.0,2.0,306-304
-96.0,7.8004535147392255,8.0,8.0,10.0,2.0,306-304
-101.0,1.4875283446712015,8.0,8.0,10.0,2.0,306-304
-101.0,3.578231292517006,8.0,8.0,10.0,2.0,306-304
-100.0,2.4897959183673466,7.0,7.0,10.0,2.0,306-304
-102.0,1.45578231292517,7.0,7.0,10.0,2.0,306-304
-101.0,32.71201814058958,7.0,7.0,10.0,2.0,306-304
-99.0,6.603174603174604,7.0,7.0,10.0,2.0,306-304
-99.0,3.741496598639455,8.0,8.0,10.0,2.0,306-304
-103.0,2.793650793650793,7.0,7.0,10.0,2.0,306-304
-104.0,1.473922902494331,6.0,6.0,10.0,2.0,306-304
-106.0,2.426303854875283,6.0,6.0,10.0,2.0,306-304
-111.0,3.09297052154195,1.0,1.0,10.0,2.0,306-304
-103.0,2.979591836734693,7.0,7.0,10.0,2.0,306-304
-98.0,5.959183673469387,8.0,8.0,10.0,2.0,306-304
-99.0,6.054421768707482,8.0,8.0,10.0,2.0,306-304
-98.0,2.979591836734693,8.0,8.0,10.0,2.0,306-304
-95.0,3.1882086167800443,9.0,9.0,10.0,2.0,306-304
-100.0,1.106575963718821,7.0,7.0,10.0,2.0,306-304
-95.0,1.673469387755102,9.0,9.0,10.0,2.0,306-304
-96.0,2.426303854875283,8.0,8.0,10.0,2.0,306-304
-95.0,2.1541950113378685,8.0,8.0,10.0,2.0,306-304
-100.0,1.1020408163265305,7.0,7.0,10.0,2.0,306-304
-94.0,1.2834467120181403,8.0,8.0,10.0,2.0,306-304
-95.0,1.292517006802721,9.0,9.0,10.0,2.0,306-304
-92.0,1.1700680272108843,8.0,8.0,10.0,2.0,306-304
-93.0,3.0113378684807253,7.0,7.0,10.0,2.0,306和304之间
-104.0,3.664399092970521,6.0,6.0,10.0,2.0,306和304之间
-99.0,1.6099773242630386,7.0,7.0,10.0,2.0,306和304之间
-100.0,2.693877551020408,7.0,7.0,10.0,2.0,306和304之间
-98.0,6.884353741496598,8.0,8.0,10.0,2.0,306和304之间
-103.0,3.419501133786848,7.0,7.0,10.0,2.0,306和304之间
-95.0,1.6099773242630382,8.0,8.0,10.0,2.0,306和304之间
-99.0,2.0,7.0,7.0,10.0,2.0,306和304之间
-102.0,6.616780045351473,8.0,8.0,10.0,2.0,306和304之间
-106.0,2.2766439909297054,6.0,6.0,10.0,2.0,306和304之间
-104.0,1.619047619047619,7.0,7.0,10.0,2.0,306和304之间
-104.0,2.2448979591836733,7.0,7.0,10.0,2.0,306和304之间
-99.0,1.9501133786848064,7.0,7.0,10.0,2.0,306和304之间
-99.0,1.6643990929705217,7.0,7.0,10.0,2.0,306和304之间
-100.0,4.72562358276644,6.0,6.0,10.0,2.0,306和304之间
-105.0,3.0113378684807257,6.0,6.0,10.0,2.0,306和304之间
-101.0,2.807256235827664,7.0,7.0,10.0,2.0,306和304之间
-98.0,7.578231292517009,8.0,8.0,10.0,2.0,306和304之间
-91.0,7.360544217687074,8.0,8.0,10.0,2.0,306和304之间
-102.0,4.789115646258503,7.0,7.0,10.0,2.0,306和304之间
-105.0,12.39455782312925,6.0,6.0,10.0,2.0,306和304之间
-99.0,0.7891156462585035,7.0,7.0,10.0,2.0,306和304之间
-95.0,1.9637188208616767,9.0,9.0,10.0,2.0,306和304之间
-96.0,4.598639455782312,4.0,4.0,10.0,2.0,306和304之间
-104.0,4.857142857142857,7.0,7.0,10.0,2.0,306和304之间
-96.0,7.8004535147392255,8.0,8.0,10.0,2.0,306和304之间
-101.0,1.4875283446712015,8.0,8.0,10.0,2.0,306和304之间
-101.0,3.578231292517006,8.0,8.0,10.0,2.0,306和304之间
-100.0,2.4897959183673466,7.0,7.0,10.0,2.0,306和304之间
-102.0,1.45578231292517,7.0,7.0,10.0,2.0,306和304之间
-101.0,32.71201814058958,7.0,7.0,10.0,2.0,306和304之间
-99.0,6.603174603174604,7.0,7.0,10.0,2.0,306和304之间
-99.0,3.741496598639455,8.0,8.0,10.0,2.0,306和304之间
-103.0,2.793650793650793,7.0,7.0,10.0,2.0,306和304之间
-104.0,1.473922902494331,6.0,6.0,10.0,2.0,306和304之间
-106.0,2.426303854875283,6.0,6.0,10.0,2.0,306和304之间
-111.0,3.09297052154195,1.0,1.0,10.0,2.0,306和304之间
-103.0,2.979591836734693,7.0,7.0,10.0,2.0,306和304之间
-98.0,5.959183673469387,8.0,8.0,10.0,2.0,306和304之间
-99.0,6.054421768707482,8.0,8.0,10.0,2.0,306和304之间
-98.0,2.979591836734693,8.0,8.0,10.0,2.0,306和304之间
-95.0,3.1882086167800443,9.0,9.0,10.0,2.0,306和304之间
-100.0,1.106575963718821,7.0,7.0,10.0,2.0,306和304之间
-95.0,1.673469387755102,9.0,9.0,10.0,2.0,306和304之间
-96.0,2.426303854875283,8.0,8.0,10.0,2.0,306和304之间
-95.0,2.1541950113378685,8.0,8.0,10.0,2.0,306和304之间
-100.0,1.1020408163265305,7.0,7.0,10.0,2.0,306和304之间
-94.0,1.2834467120181403,8.0,8.0,10.0,2.0,306和304之间
-95.0,1.292517006802721,9.0,9.0,10.0,2.0,306和304之间
-92.0,1.1700680272108843,8.0,8.0,10.0,2.0,306和304之间
-100.0,6.122448979591836,7.0,7.0,10.0,2.0,308
-92.0,12.317460317460318,8.0,8.0,10.0,2.0,308
-104.0,2.126984126984127,7.0,7.0,10.0,2.0,308
-100.0,1.6462585034013604,6.0,6.0,10.0,2.0,308
-100.0,2.222222222222222,6.0,6.0,10.0,2.0,308
-95.0,3.619047619047619,9.0,9.0,10.0,2.0,308
-96.0,1.5147392290249435,8.0,8.0,10.0,2.0,308
-96.0,2.3718820861678003,8.0,8.0,10.0,2.0,308
-96.0,3.297052154195012,9.0,9.0,10.0,2.0,308
-96.0,3.3242630385487524,8.0,8.0,10.0,2.0,308
-96.0,3.868480725623584,8.0,8.0,10.0,2.0,308
-96.0,7.823129251700681,8.0,8.0,10.0,2.0,308
-96.0,5.092970521541949,8.0,8.0,10.0,2.0,308
-94.0,2.8480725623582765,7.0,7.0,10.0,2.0,308
-106.0,10.997732426303854,5.0,5.0,10.0,2.0,308
-104.0,6.911564625850339,6.0,6.0,10.0,2.0,308
-116.0,6.630385487528345,-3.0,-3.0,10.0,2.0,308
-94.0,2.2358276643990926,6.0,6.0,10.0,2.0,308
-95.0,3.7687074829931966,8.0,8.0,10.0,2.0,308
-94.0,5.10204081632653,7.0,7.0,10.0,2.0,308
-92.0,2.0861678004535147,8.0,8.0,10.0,2.0,308
-101.0,2.8208616780045355,7.0,7.0,10.0,2.0,308
-99.0,5.759637188208616,7.0,7.0,10.0,2.0,308
-108.0,4.140589569160997,5.0,5.0,10.0,2.0,308
-94.0,6.317460317460318,8.0,8.0,10.0,2.0,308
-98.0,2.9433106575963714,8.0,8.0,10.0,2.0,308
-96.0,3.26984126984127,8.0,8.0,10.0,2.0,308
-96.0,2.91156462585034,8.0,8.0,10.0,2.0,308
-95.0,3.1882086167800443,7.0,7.0,10.0,2.0,308
-94.0,1.809523809523809,9.0,9.0,10.0,2.0,308
-94.0,0.7528344671201814,6.0,6.0,10.0,2.0,308
-95.0,0.91156462585034,9.0,9.0,10.0,2.0,308
-94.0,1.0385487528344672,6.0,6.0,10.0,2.0,308
-95.0,4.521541950113378,8.0,8.0,10.0,2.0,308
-93.0,2.503401360544217,7.0,7.0,10.0,2.0,308
-96.0,3.1020408163265305,9.0,9.0,10.0,2.0,308
-93.0,1.4195011337868482,7.0,7.0,10.0,2.0,308
-95.0,1.487528344671202,9.0,9.0,10.0,2.0,308
-95.0,1.582766439909297,8.0,8.0,10.0,2.0,308
-100.0,2.5306122448979584,6.0,6.0,10.0,2.0,308
-95.0,3.0068027210884347,9.0,9.0,10.0,2.0,308
-98.0,3.6326530612244894,8.0,8.0,10.0,2.0,308
-93.0,3.392290249433106,8.0,8.0,10.0,2.0,308
-100.0,9.705215419501132,8.0,8.0,10.0,2.0,308
-92.0,2.1405895691609977,8.0,8.0,10.0,2.0,308
-103.0,5.823129251700681,7.0,7.0,10.0,2.0,308
-100.0,3.9047619047619047,7.0,7.0,10.0,2.0,308
-99.0,3.537414965986395,8.0,8.0,10.0,2.0,308
-104.0,14.312925170068027,7.0,7.0,10.0,2.0,308
-98.0,3.487528344671202,8.0,8.0,10.0,2.0,308
-88.0,0.6258503401360542,8.0,8.0,10.0,2.0,312
-88.0,3.64625850340136,7.0,7.0,10.0,2.0,312
-86.0,2.380952380952381,8.0,8.0,10.0,2.0,312
-87.0,1.854875283446712,8.0,8.0,10.0,2.0,312
-87.0,1.324263038548753,8.0,8.0,10.0,2.0,312
-87.0,2.91156462585034,8.0,8.0,10.0,2.0,312
-87.0,1.8412698412698407,8.0,8.0,10.0,2.0,312
-87.0,1.5147392290249435,8.0,8.0,10.0,2.0,312
-87.0,1.5147392290249435,8.0,8.0,10.0,2.0,312
-86.0,1.619047619047619,8.0,8.0,10.0,2.0,312
-87.0,5.673469387755101,8.0,8.0,10.0,2.0,312
-87.0,1.2018140589569162,8.0,8.0,10.0,2.0,312
-88.0,2.8208616780045346,8.0,8.0,10.0,2.0,312
-88.0,3.64625850340136,7.0,7.0,10.0,2.0,312
-88.0,1.7596371882086166,7.0,7.0,10.0,2.0,312
-87.0,1.297052154195011,7.0,7.0,10.0,2.0,312
-87.0,2.380952380952381,7.0,7.0,10.0,2.0,312
-87.0,2.7528344671201816,8.0,8.0,10.0,2.0,312
-88.0,1.800453514739229,7.0,7.0,10.0,2.0,312
-87.0,1.0793650793650793,8.0,8.0,10.0,2.0,312
-86.0,2.4399092970521545,8.0,8.0,10.0,2.0,312
-86.0,5.133786848072562,8.0,8.0,10.0,2.0,312
-86.0,3.188208616780045,8.0,8.0,10.0,2.0,312
-86.0,5.931972789115646,8.0,8.0,10.0,2.0,312
-86.0,4.439909297052155,8.0,8.0,10.0,2.0,312
-87.0,0.8480725623582767,7.0,7.0,10.0,2.0,312
-85.0,1.3786848072562357,9.0,9.0,10.0,2.0,312
-86.0,2.299319727891156,8.0,8.0,10.0,2.0,312
-86.0,2.7528344671201808,8.0,8.0,10.0,2.0,312
-86.0,4.721088435374149,9.0,9.0,10.0,2.0,312
-86.0,2.4263038548752824,8.0,8.0,10.0,2.0,312
-85.0,5.174603174603176,9.0,9.0,10.0,2.0,312
-88.0,0.7755102040816324,7.0,7.0,10.0,2.0,312
-89.0,1.1972789115646256,7.0,7.0,10.0,2.0,312
-88.0,3.741496598639455,7.0,7.0,10.0,2.0,312
-89.0,5.419501133786848,7.0,7.0,10.0,2.0,312
-91.0,3.950113378684807,8.0,8.0,10.0,2.0,312
-88.0,2.467120181405895,7.0,7.0,10.0,2.0,312
-88.0,6.56235827664399,7.0,7.0,10.0,2.0,312
-90.0,5.569160997732426,8.0,8.0,10.0,2.0,312
-88.0,3.8367346938775504,7.0,7.0,10.0,2.0,312
-89.0,3.6326530612244894,6.0,6.0,10.0,2.0,312
-88.0,1.9637188208616776,8.0,8.0,10.0,2.0,312
-88.0,1.1337868480725624,8.0,8.0,10.0,2.0,312
-87.0,2.4399092970521545,7.0,7.0,10.0,2.0,312
-88.0,2.380952380952381,8.0,8.0,10.0,2.0,312
-88.0,1.8004535147392284,7.0,7.0,10.0,2.0,312
-86.0,2.535147392290249,9.0,9.0,10.0,2.0,312
-88.0,2.5986394557823123,8.0,8.0,10.0,2.0,312
-89.0,5.229024943310658,6.0,6.0,10.0,2.0,312
-86.0,6.154195011337869,9.0,9.0,10.0,2.0,318
-89.0,0.9024943310657596,8.0,8.0,10.0,2.0,318
-91.0,3.863945578231292,9.0,9.0,10.0,2.0,318
-88.0,1.6643990929705217,7.0,7.0,10.0,2.0,318
-88.0,4.997732426303854,6.0,6.0,10.0,2.0,318
-88.0,2.0544217687074826,8.0,8.0,10.0,2.0,318
-82.0,6.244897959183672,8.0,8.0,10.0,2.0,318
-89.0,4.027210884353741,7.0,7.0,10.0,2.0,318
-93.0,1.2834467120181403,8.0,8.0,10.0,2.0,318
-91.0,1.895691609977324,9.0,9.0,10.0,2.0,318
-92.0,3.6643990929705215,8.0,8.0,10.0,2.0,318
-88.0,1.800453514739229,8.0,8.0,10.0,2.0,318
-87.0,2.317460317460317,8.0,8.0,10.0,2.0,318
-87.0,3.0476190476190474,8.0,8.0,10.0,2.0,318
-87.0,1.324263038548753,8.0,8.0,10.0,2.0,318
-86.0,3.387755102040816,8.0,8.0,10.0,2.0,318
-87.0,2.884353741496598,8.0,8.0,10.0,2.0,318
-87.0,3.537414965986395,8.0,8.0,10.0,2.0,318
-89.0,2.72562358276644,7.0,7.0,10.0,2.0,318
-87.0,2.3310657596371875,8.0,8.0,10.0,2.0,318
-89.0,4.149659863945577,6.0,6.0,10.0,2.0,318
-94.0,25.29251700680272,7.0,7.0,10.0,2.0,318
-90.0,4.317460317460318,9.0,9.0,10.0,2.0,318
-88.0,2.902494331065759,7.0,7.0,10.0,2.0,318
-88.0,3.324263038548753,8.0,8.0,10.0,2.0,318
-91.0,14.807256235827666,8.0,8.0,10.0,2.0,318
-90.0,2.9977324263038545,9.0,9.0,10.0,2.0,318
-89.0,5.64625850340136,8.0,8.0,10.0,2.0,318
-87.0,2.997732426303854,7.0,7.0,10.0,2.0,318
-92.0,3.727891156462585,8.0,8.0,10.0,2.0,318
-89.0,2.761904761904762,8.0,8.0,10.0,2.0,318
-87.0,1.1882086167800454,7.0,7.0,10.0,2.0,318
-88.0,0.7891156462585035,7.0,7.0,10.0,2.0,318
-88.0,1.741496598639455,6.0,6.0,10.0,2.0,318
-82.0,1.9047619047619049,7.0,7.0,10.0,2.0,318
-89.0,2.91156462585034,7.0,7.0,10.0,2.0,318
-87.0,1.6462585034013602,8.0,8.0,10.0,2.0,318
-87.0,2.4897959183673466,7.0,7.0,10.0,2.0,318
-88.0,4.680272108843538,6.0,6.0,10.0,2.0,318
-88.0,3.8412698412698414,8.0,8.0,10.0,2.0,318
-88.0,2.3310657596371875,8.0,8.0,10.0,2.0,318
-88.0,0.8707482993197279,7.0,7.0,10.0,2.0,318
-89.0,1.4829931972789112,7.0,7.0,10.0,2.0,318
-89.0,0.9977324263038548,7.0,7.0,10.0,2.0,318
-89.0,1.4421768707482991,7.0,7.0,10.0,2.0,318
-87.0,1.2834467120181403,7.0,7.0,10.0,2.0,318
-90.0,0.8480725623582767,9.0,9.0,10.0,2.0,318
-91.0,2.380952380952381,8.0,8.0,10.0,2.0,318
-91.0,3.106575963718821,8.0,8.0,10.0,2.0,318
-90.0,0.6167800453514738,9.0,9.0,10.0,2.0,318
-88.0,3.9047619047619047,7.0,7.0,10.0,2.0,322
-88.0,2.217687074829932,8.0,8.0,10.0,2.0,322
-88.0,2.4399092970521545,7.0,7.0,10.0,2.0,322
-84.0,1.1882086167800452,8.0,8.0,10.0,2.0,322
-88.0,2.7528344671201816,8.0,8.0,10.0,2.0,322
-89.0,2.625850340136054,7.0,7.0,10.0,2.0,322
-89.0,2.7120181405895685,7.0,7.0,10.0,2.0,322
-88.0,7.650793650793652,8.0,8.0,10.0,2.0,322
-91.0,5.514739229024944,8.0,8.0,10.0,2.0,322
-90.0,2.0861678004535147,9.0,9.0,10.0,2.0,322
-86.0,2.0861678004535142,8.0,8.0,10.0,2.0,322
-87.0,1.7052154195011335,8.0,8.0,10.0,2.0,322
-86.0,2.6258503401360542,8.0,8.0,10.0,2.0,322
-85.0,3.863945578231292,9.0,9.0,10.0,2.0,322
-85.0,5.269841269841271,9.0,9.0,10.0,2.0,322
-85.0,2.154195011337868,9.0,9.0,10.0,2.0,322
-85.0,1.673469387755102,9.0,9.0,10.0,2.0,322
-85.0,2.344671201814059,9.0,9.0,10.0,2.0,322
-86.0,2.698412698412698,9.0,9.0,10.0,2.0,322
-83.0,3.664399092970521,7.0,7.0,10.0,2.0,322
-89.0,3.823129251700681,7.0,7.0,10.0,2.0,322
-85.0,2.630385487528345,9.0,9.0,10.0,2.0,322
-83.0,3.8367346938775504,7.0,7.0,10.0,2.0,322
-84.0,3.297052154195012,9.0,9.0,10.0,2.0,322
-84.0,2.467120181405896,8.0,8.0,10.0,2.0,322
-84.0,4.752834467120182,7.0,7.0,10.0,2.0,322
-84.0,4.598639455782312,8.0,8.0,10.0,2.0,322
-83.0,0.91609977324263,8.0,8.0,10.0,2.0,322
-83.0,2.630385487528345,8.0,8.0,10.0,2.0,322
-84.0,4.88888888888889,7.0,7.0,10.0,2.0,322
-84.0,2.1269841269841265,9.0,9.0,10.0,2.0,322
-88.0,4.394557823129253,8.0,8.0,10.0,2.0,322
-78.0,3.0385487528344672,9.0,9.0,10.0,2.0,322
-85.0,4.204081632653062,9.0,9.0,10.0,2.0,322
-86.0,1.6462585034013602,8.0,8.0,10.0,2.0,322
-85.0,1.387755102040816,9.0,9.0,10.0,2.0,322
-87.0,1.950113378684807,8.0,8.0,10.0,2.0,322
-87.0,2.8707482993197275,8.0,8.0,10.0,2.0,322
-87.0,2.0544217687074826,7.0,7.0,10.0,2.0,322
-87.0,1.2925170068027207,7.0,7.0,10.0,2.0,322
-86.0,5.950113378684806,8.0,8.0,10.0,2.0,322
-87.0,3.4875283446712024,7.0,7.0,10.0,2.0,322
-89.0,2.6167800453514736,7.0,7.0,10.0,2.0,322
-86.0,2.0272108843537406,8.0,8.0,10.0,2.0,322
-86.0,5.25170068027211,8.0,8.0,10.0,2.0,322
-86.0,1.854875283446712,9.0,9.0,10.0,2.0,322
-83.0,2.6303854875283443,7.0,7.0,10.0,2.0,322
-83.0,3.0385487528344672,7.0,7.0,10.0,2.0,322
-85.0,2.7528344671201808,9.0,9.0,10.0,2.0,322
-88.0,2.249433106575964,8.0,8.0,10.0,2.0,322
-78.0,4.435374149659863,9.0,9.0,10.0,2.0,328
-87.0,9.4875283446712,8.0,8.0,10.0,2.0,328
-84.0,3.079365079365079,7.0,7.0,10.0,2.0,328
-85.0,1.473922902494331,9.0,9.0,10.0,2.0,328
-84.0,4.285714285714286,8.0,8.0,10.0,2.0,328
-86.0,0.979591836734694,8.0,8.0,10.0,2.0,328
-81.0,8.630385487528345,9.0,9.0,10.0,2.0,328
-82.0,2.095238095238096,8.0,8.0,10.0,2.0,328
-88.0,6.154195011337866,8.0,8.0,10.0,2.0,328
-79.0,1.45578231292517,9.0,9.0,10.0,2.0,328
-78.0,2.807256235827664,9.0,9.0,10.0,2.0,328
-78.0,1.868480725623583,9.0,9.0,10.0,2.0,328
-77.0,1.1972789115646256,8.0,8.0,10.0,2.0,328
-77.0,2.0861678004535142,7.0,7.0,10.0,2.0,328
-78.0,3.9637188208616783,9.0,9.0,10.0,2.0,328
-77.0,3.741496598639455,8.0,8.0,10.0,2.0,328
-77.0,4.344671201814059,9.0,9.0,10.0,2.0,328
-77.0,1.854875283446712,6.0,6.0,10.0,2.0,328
-77.0,4.793650793650794,8.0,8.0,10.0,2.0,328
-77.0,1.8684807256235825,7.0,7.0,10.0,2.0,328
-81.0,1.7596371882086166,9.0,9.0,10.0,2.0,328
-83.0,14.857142857142858,7.0,7.0,10.0,2.0,328
-76.0,14.086167800453516,8.0,8.0,10.0,2.0,328
-78.0,6.058956916099774,9.0,9.0,10.0,2.0,328
-78.0,2.1088435374149657,9.0,9.0,10.0,2.0,328
-79.0,1.2698412698412695,9.0,9.0,10.0,2.0,328
-76.0,1.292517006802721,7.0,7.0,10.0,2.0,328
-77.0,1.5827664399092969,6.0,6.0,10.0,2.0,328
-77.0,4.775510204081634,6.0,6.0,10.0,2.0,328
