realtime_average_rssi,average_rssi,rssi_variance,snr,median_rssi,mode_rssi,rssi_skewness,rssi_kurtosis,sf,tp,location_id
-85.98903219124672,-88.0,0.7432346960113811,9.0,-86.16843988967095,-86.82875743127185,1.7502475780887694,3.4775472709463773,11.0,2.0,12
-86.14538974853268,-85.0,1.7196510685627768,10.0,-85.99189636701628,-93.0,-4.382880184736588,23.414659883223564,11.0,2.0,12
-86.22135710208951,-86.0,0.2006206312103809,10.0,-86.24709176304492,-85.0,0.7791105050314896,1.9082743995568632,11.0,2.0,12
-84.43350792285334,-86.0,1.6228611396160977,10.0,-84.26982603035115,-91.0,-4.2238726207570805,21.98114342123609,11.0,2.0,12
-86.6184025266525,-85.0,0.5174944164471214,10.0,-86.42912973569844,-86.0,-0.9024135249576448,0.0796205118183195,11.0,2.0,12
-86.4784269107975,-87.0,2.0079246963258086,9.0,-86.39580807650232,-94.0,-4.5736753321817165,25.13736617114148,11.0,2.0,12
-85.6212587143504,-86.0,0.2786533241511912,10.0,-85.66929540168827,-84.0,1.4665336007219418,3.958971725437336,11.0,2.0,12
-85.54228739468049,-86.0,1.4794685378741168,9.0,-85.48156744024357,-92.0,-4.661698341223802,24.960083277423124,11.0,2.0,12
-88.23687586123522,-89.0,0.2342351419437434,9.0,-88.16626219937352,-87.0,0.7401983261433306,0.4566208349780325,11.0,2.0,12
-85.44867876207047,-86.0,1.9287816169987624,10.0,-85.1485889172619,-93.0,-5.068317858842017,27.72802560903504,11.0,2.0,12
-86.07613988373969,-86.0,0.1456669664238837,9.0,-86.13525835893358,-85.0,1.3561782727552285,2.3083672524362275,11.0,2.0,12
-85.1484593827571,-86.0,2.017444690138343,10.0,-84.99988799457442,-93.0,-5.33117221633351,29.81859749626773,11.0,2.0,12
-86.14421708592226,-88.0,0.151638054475244,9.0,-86.12715894249243,-85.0,1.327289639252129,2.4464410614267407,11.0,2.0,12
-85.10781771200953,-86.0,2.02069926322211,10.0,-84.86932281644161,-93.0,-5.405185685152714,30.398395856961407,11.0,2.0,12
-84.05198860231454,-85.0,0.1414319753946042,10.0,-84.16499540177429,-83.0,1.43958885135076,1.963016747993763,11.0,2.0,12
-85.13576561436513,-85.0,2.090594376851775,10.0,-84.9235387345531,-93.0,-5.066839691781032,27.76228152421428,11.0,2.0,12
-84.63269953056947,-86.0,0.1931376507396404,10.0,-84.76634960014138,-85.3934097516061,1.8077986940145496,4.749437232199771,11.0,2.0,12
-84.51544829512143,-85.0,2.3438880536048643,10.0,-84.34647243237816,-93.0,-5.364227269618153,30.17207927513647,11.0,2.0,12
-84.57648328861728,-85.0,0.3156678145846317,10.0,-84.76822854369063,-83.0,1.6051389769251083,1.965524566764611,11.0,2.0,12
-84.55979046706874,-86.0,1.7600650088450676,10.0,-84.36373448470229,-92.0,-5.588565041205556,31.77040114237868,11.0,2.0,12
-84.22463083031023,-85.0,0.233291962142292,10.0,-84.12827700408538,-83.0,0.7450210855791981,0.3982853339235301,11.0,2.0,12
-84.54344606056411,-85.0,2.3725237284708163,10.0,-84.37476288211751,-93.0,-5.207251128116986,28.94544426190236,11.0,2.0,12
-84.62451668171491,-85.0,0.27617873455441,10.0,-84.7103148483404,-83.0,1.800963016293044,3.921259032988059,11.0,2.0,12
-85.11922724964784,-86.0,2.054872940679225,10.0,-84.87274897634514,-93.0,-5.247875969127706,29.104105676081204,11.0,2.0,12
-85.70649731637843,-87.0,0.1665874403085049,9.0,-85.76225399580231,-86.48832191221254,2.132538163817466,8.784086015152953,11.0,2.0,12
-87.92730343654083,-88.0,1.7654614127698978,8.0,-87.92898759157022,-95.0,-4.726842427749575,25.200381649221534,11.0,2.0,12
