rssi,average_rssi,snr,average_snr,sf,tp,location_id
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-115.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-115.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-117.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-112.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-117.0,-125.0,-10.0,-10.0,9.0,2.0,302
-117.0,-125.0,-10.0,-10.0,9.0,2.0,302
-117.0,-125.0,-10.0,-10.0,9.0,2.0,302
-115.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-115.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-125.0,-10.0,-10.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-114.0,-121.0,-8.0,-8.0,9.0,2.0,302
-117.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-112.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-112.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-113.0,-121.0,-8.0,-8.0,9.0,2.0,302
-114.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-117.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-117.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-117.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-118.0,-121.0,-8.0,-8.0,9.0,2.0,302
-117.0,-121.0,-8.0,-8.0,9.0,2.0,302
-114.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-113.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-113.0,-121.0,-8.0,-8.0,9.0,2.0,302
-114.0,-122.0,-9.0,-9.0,9.0,2.0,302
-117.0,-122.0,-9.0,-9.0,9.0,2.0,302
-115.0,-122.0,-9.0,-9.0,9.0,2.0,302
-117.0,-122.0,-9.0,-9.0,9.0,2.0,302
-117.0,-122.0,-9.0,-9.0,9.0,2.0,302
-117.0,-122.0,-9.0,-9.0,9.0,2.0,302
-115.0,-122.0,-9.0,-9.0,9.0,2.0,302
-116.0,-122.0,-9.0,-9.0,9.0,2.0,302
-116.0,-122.0,-9.0,-9.0,9.0,2.0,302
-117.0,-122.0,-9.0,-9.0,9.0,2.0,302
-116.0,-122.0,-9.0,-9.0,9.0,2.0,302
-112.0,-122.0,-9.0,-9.0,9.0,2.0,302
-114.0,-122.0,-9.0,-9.0,9.0,2.0,302
-116.0,-122.0,-9.0,-9.0,9.0,2.0,302
-116.0,-122.0,-9.0,-9.0,9.0,2.0,302
-115.0,-122.0,-9.0,-9.0,9.0,2.0,302
-115.0,-122.0,-9.0,-9.0,9.0,2.0,302
-112.0,-122.0,-9.0,-9.0,9.0,2.0,302
-116.0,-122.0,-9.0,-9.0,9.0,2.0,302
-116.0,-122.0,-9.0,-9.0,9.0,2.0,302
-116.0,-122.0,-9.0,-9.0,9.0,2.0,302
-116.0,-122.0,-9.0,-9.0,9.0,2.0,302
-113.0,-122.0,-9.0,-9.0,9.0,2.0,302
-113.0,-122.0,-9.0,-9.0,9.0,2.0,302
-116.0,-122.0,-9.0,-9.0,9.0,2.0,302
-114.0,-122.0,-9.0,-9.0,9.0,2.0,302
-113.0,-122.0,-9.0,-9.0,9.0,2.0,302
-113.0,-122.0,-9.0,-9.0,9.0,2.0,302
-112.0,-122.0,-9.0,-9.0,9.0,2.0,302
-115.0,-122.0,-9.0,-9.0,9.0,2.0,302
-117.0,-122.0,-9.0,-9.0,9.0,2.0,302
-117.0,-122.0,-9.0,-9.0,9.0,2.0,302
-115.0,-122.0,-9.0,-9.0,9.0,2.0,302
-114.0,-121.0,-6.0,-6.0,9.0,2.0,302
-114.0,-121.0,-6.0,-6.0,9.0,2.0,302
-116.0,-121.0,-6.0,-6.0,9.0,2.0,302
-112.0,-121.0,-6.0,-6.0,9.0,2.0,302
-116.0,-121.0,-6.0,-6.0,9.0,2.0,302
-115.0,-121.0,-6.0,-6.0,9.0,2.0,302
-114.0,-121.0,-6.0,-6.0,9.0,2.0,302
-116.0,-121.0,-6.0,-6.0,9.0,2.0,302
-113.0,-121.0,-6.0,-6.0,9.0,2.0,302
-114.0,-121.0,-6.0,-6.0,9.0,2.0,302
-115.0,-121.0,-6.0,-6.0,9.0,2.0,302
-116.0,-121.0,-6.0,-6.0,9.0,2.0,302
-115.0,-121.0,-6.0,-6.0,9.0,2.0,302
-115.0,-121.0,-6.0,-6.0,9.0,2.0,302
-115.0,-121.0,-6.0,-6.0,9.0,2.0,302
-115.0,-121.0,-6.0,-6.0,9.0,2.0,302
-114.0,-121.0,-6.0,-6.0,9.0,2.0,302
-115.0,-121.0,-6.0,-6.0,9.0,2.0,302
-116.0,-121.0,-6.0,-6.0,9.0,2.0,302
-113.0,-121.0,-6.0,-6.0,9.0,2.0,302
-116.0,-121.0,-6.0,-6.0,9.0,2.0,302
-115.0,-121.0,-6.0,-6.0,9.0,2.0,302
-118.0,-121.0,-6.0,-6.0,9.0,2.0,302
-115.0,-121.0,-6.0,-6.0,9.0,2.0,302
-117.0,-121.0,-6.0,-6.0,9.0,2.0,302
-115.0,-121.0,-6.0,-6.0,9.0,2.0,302
-117.0,-121.0,-6.0,-6.0,9.0,2.0,302
-115.0,-121.0,-6.0,-6.0,9.0,2.0,302
-114.0,-121.0,-6.0,-6.0,9.0,2.0,302
-114.0,-121.0,-6.0,-6.0,9.0,2.0,302
-116.0,-121.0,-6.0,-6.0,9.0,2.0,302
-113.0,-121.0,-6.0,-6.0,9.0,2.0,302
-116.0,-121.0,-6.0,-6.0,9.0,2.0,302
-113.0,-118.0,-5.0,-5.0,9.0,2.0,302
-113.0,-118.0,-5.0,-5.0,9.0,2.0,302
-115.0,-118.0,-5.0,-5.0,9.0,2.0,302
-117.0,-118.0,-5.0,-5.0,9.0,2.0,302
-114.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-113.0,-118.0,-5.0,-5.0,9.0,2.0,302
-114.0,-118.0,-5.0,-5.0,9.0,2.0,302
-115.0,-118.0,-5.0,-5.0,9.0,2.0,302
-113.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-113.0,-118.0,-5.0,-5.0,9.0,2.0,302
-114.0,-118.0,-5.0,-5.0,9.0,2.0,302
-113.0,-118.0,-5.0,-5.0,9.0,2.0,302
-113.0,-118.0,-5.0,-5.0,9.0,2.0,302
-113.0,-118.0,-5.0,-5.0,9.0,2.0,302
-117.0,-118.0,-5.0,-5.0,9.0,2.0,302
-115.0,-118.0,-5.0,-5.0,9.0,2.0,302
-113.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-112.0,-118.0,-5.0,-5.0,9.0,2.0,302
-117.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-112.0,-118.0,-5.0,-5.0,9.0,2.0,302
-114.0,-118.0,-5.0,-5.0,9.0,2.0,302
-115.0,-118.0,-5.0,-5.0,9.0,2.0,302
-113.0,-118.0,-5.0,-5.0,9.0,2.0,302
-114.0,-118.0,-5.0,-5.0,9.0,2.0,302
-115.0,-118.0,-5.0,-5.0,9.0,2.0,302
-114.0,-118.0,-5.0,-5.0,9.0,2.0,302
-114.0,-118.0,-5.0,-5.0,9.0,2.0,302
-115.0,-118.0,-5.0,-5.0,9.0,2.0,302
-117.0,-118.0,-5.0,-5.0,9.0,2.0,302
-114.0,-118.0,-5.0,-5.0,9.0,2.0,302
-117.0,-118.0,-5.0,-5.0,9.0,2.0,302
-113.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-114.0,-118.0,-5.0,-5.0,9.0,2.0,302
-115.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-117.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-113.0,-118.0,-5.0,-5.0,9.0,2.0,302
-118.0,-118.0,-5.0,-5.0,9.0,2.0,302
-114.0,-118.0,-5.0,-5.0,9.0,2.0,302
-117.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-114.0,-118.0,-5.0,-5.0,9.0,2.0,302
-114.0,-118.0,-5.0,-5.0,9.0,2.0,302
-115.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-117.0,-118.0,-5.0,-5.0,9.0,2.0,302
-114.0,-118.0,-5.0,-5.0,9.0,2.0,302
-115.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-114.0,-118.0,-5.0,-5.0,9.0,2.0,302
-115.0,-118.0,-5.0,-5.0,9.0,2.0,302
-115.0,-118.0,-5.0,-5.0,9.0,2.0,302
-116.0,-118.0,-5.0,-5.0,9.0,2.0,302
-114.0,-121.0,-8.0,-8.0,9.0,2.0,302
-114.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-117.0,-121.0,-8.0,-8.0,9.0,2.0,302
-118.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-114.0,-121.0,-8.0,-8.0,9.0,2.0,302
-114.0,-121.0,-8.0,-8.0,9.0,2.0,302
-117.0,-121.0,-8.0,-8.0,9.0,2.0,302
-114.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-118.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-116.0,-121.0,-8.0,-8.0,9.0,2.0,302
-115.0,-121.0,-8.0,-8.0,9.0,2.0,302
-117.0,-121.0,-8.0,-8.0,9.0,2.0,302
-114.0,-119.0,-6.0,-6.0,9.0,2.0,302
-113.0,-119.0,-6.0,-6.0,9.0,2.0,302
-113.0,-119.0,-6.0,-6.0,9.0,2.0,302
-116.0,-119.0,-6.0,-6.0,9.0,2.0,302
-115.0,-119.0,-6.0,-6.0,9.0,2.0,302
-116.0,-119.0,-6.0,-6.0,9.0,2.0,302
-115.0,-119.0,-6.0,-6.0,9.0,2.0,302
-116.0,-119.0,-6.0,-6.0,9.0,2.0,302
-116.0,-119.0,-6.0,-6.0,9.0,2.0,302
-113.0,-119.0,-6.0,-6.0,9.0,2.0,302
-115.0,-119.0,-6.0,-6.0,9.0,2.0,302
-115.0,-119.0,-6.0,-6.0,9.0,2.0,302
-115.0,-119.0,-6.0,-6.0,9.0,2.0,302
-116.0,-119.0,-6.0,-6.0,9.0,2.0,302
-116.0,-119.0,-6.0,-6.0,9.0,2.0,302
-115.0,-119.0,-6.0,-6.0,9.0,2.0,302
-113.0,-119.0,-6.0,-6.0,9.0,2.0,302
-116.0,-119.0,-6.0,-6.0,9.0,2.0,302
-115.0,-119.0,-6.0,-6.0,9.0,2.0,302
-117.0,-119.0,-6.0,-6.0,9.0,2.0,302
-115.0,-119.0,-6.0,-6.0,9.0,2.0,302
-116.0,-119.0,-6.0,-6.0,9.0,2.0,302
-116.0,-119.0,-6.0,-6.0,9.0,2.0,302
-114.0,-119.0,-6.0,-6.0,9.0,2.0,302
-117.0,-119.0,-6.0,-6.0,9.0,2.0,302
-115.0,-119.0,-6.0,-6.0,9.0,2.0,302
-112.0,-119.0,-6.0,-6.0,9.0,2.0,302
-115.0,-119.0,-6.0,-6.0,9.0,2.0,302
-117.0,-119.0,-6.0,-6.0,9.0,2.0,302
-115.0,-119.0,-6.0,-6.0,9.0,2.0,302
-116.0,-119.0,-6.0,-6.0,9.0,2.0,302
-115.0,-119.0,-6.0,-6.0,9.0,2.0,302
-116.0,-119.0,-6.0,-6.0,9.0,2.0,302
-114.0,-123.0,-8.0,-8.0,9.0,2.0,302
-113.0,-123.0,-8.0,-8.0,9.0,2.0,302
-116.0,-123.0,-8.0,-8.0,9.0,2.0,302
-118.0,-123.0,-8.0,-8.0,9.0,2.0,302
-116.0,-123.0,-8.0,-8.0,9.0,2.0,302
-115.0,-123.0,-8.0,-8.0,9.0,2.0,302
-116.0,-123.0,-8.0,-8.0,9.0,2.0,302
-114.0,-123.0,-8.0,-8.0,9.0,2.0,302
-116.0,-123.0,-8.0,-8.0,9.0,2.0,302
-118.0,-123.0,-8.0,-8.0,9.0,2.0,302
-115.0,-123.0,-8.0,-8.0,9.0,2.0,302
-115.0,-123.0,-8.0,-8.0,9.0,2.0,302
-115.0,-123.0,-8.0,-8.0,9.0,2.0,302
-115.0,-123.0,-8.0,-8.0,9.0,2.0,302
-116.0,-123.0,-8.0,-8.0,9.0,2.0,302
-114.0,-123.0,-8.0,-8.0,9.0,2.0,302
-111.0,-123.0,-8.0,-8.0,9.0,2.0,302
-117.0,-123.0,-8.0,-8.0,9.0,2.0,302
-117.0,-123.0,-8.0,-8.0,9.0,2.0,302
-109.0,-123.0,-8.0,-8.0,9.0,2.0,302
-113.0,-123.0,-8.0,-8.0,9.0,2.0,302
-117.0,-123.0,-8.0,-8.0,9.0,2.0,302
-116.0,-123.0,-8.0,-8.0,9.0,2.0,302
-117.0,-123.0,-8.0,-8.0,9.0,2.0,302
-116.0,-123.0,-8.0,-8.0,9.0,2.0,302
-117.0,-123.0,-8.0,-8.0,9.0,2.0,302
-115.0,-123.0,-8.0,-8.0,9.0,2.0,302
-117.0,-123.0,-8.0,-8.0,9.0,2.0,302
-113.0,-123.0,-8.0,-8.0,9.0,2.0,302
-117.0,-123.0,-8.0,-8.0,9.0,2.0,302
-116.0,-123.0,-8.0,-8.0,9.0,2.0,302
-116.0,-123.0,-8.0,-8.0,9.0,2.0,302
-117.0,-123.0,-8.0,-8.0,9.0,2.0,302
-115.0,-124.0,-9.0,-9.0,9.0,2.0,302
-118.0,-124.0,-9.0,-9.0,9.0,2.0,302
