hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,rssi_33,rssi_34,rssi_35,rssi_36,rssi_37,rssi_38,rssi_39,rssi_40,rssi_41,rssi_42,rssi_43,rssi_44,rssi_45,rssi_46,rssi_47,rssi_48,rssi_49,rssi_50,rssi_51,rssi_52,rssi_53,rssi_54,rssi_55,rssi_56,rssi_57,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLFL,17472,11,5,-136,-21,12,2,58,-114.0,-115.98019821585925,-114.99452518861217,-115.6619149502673,-115.49626850512118,-115.79821982164326,-115.8321018876385,-115.71185789199097,-115.6214351410436,-115.66439987646224,-115.80160821419712,-115.82025359626233,-115.92258893431196,-116.00949896666468,-116.08428167227608,-116.00722879400715,-116.00674287841643,-115.94244948831692,-115.94595499698207,-116.06571045873376,-116.06203183108148,-116.05868766826241,-116.0556328447186,-116.10320956981157,-116.09816585913195,-116.14100287238927,-116.13448058040899,-116.1735363180987,-116.20997544656477,-116.15777106626243,-116.15110072600419,-116.06186604425966,-116.10009686762626,-116.17624237350155,-116.16928824510204,-116.16270554405851,-116.07975538940497,-116.114600130751,-116.14772355754914,-116.17924916953514,-116.24588770301318,-116.23697747326324,-116.22846994081279,-116.11357835858763,-116.18016082705796,-116.20887521148833,-116.23638402739552,-116.26275653724142,-116.28805641492012,-116.31234232204473,-116.33566841437455,-116.29059929099007,-116.24726584734424,-116.30584337673397,-116.29566634642208,-116.35214700330673,-116.34052178156858,-116.36221440751031,point1,-116.03013408392081,-116.11408924466932,-116.36221440751031,0.13047964696727535,3.586832915397438,17.16690998813012
HDOK,PLFL,17472,12,5,-138,-23,12,2,58,-114.0,-115.98019821585925,-116.48781967704201,-116.99104896697766,-116.74303562586897,-116.79463441949163,-116.82911853090734,-116.99831832286179,-116.8715083372032,-116.99958505792117,-116.99962768558485,-117.09364530800933,-117.08552218576752,-117.15928910626043,-117.1472627984226,-117.20786131029323,-117.2611084409984,-117.1167077899771,-116.98777518308371,-116.9301856594933,-116.82212927885209,-116.83171836629144,-116.84047779926712,-116.79813496578456,-116.75913120035804,-116.81807231914256,-116.78023119976662,-116.69989996606884,-116.66904108462555,-116.59703032129195,-116.61406731631527,-116.54711053389013,-116.52481469217672,-116.50378084074207,-116.48390277973928,-116.46508642700765,-116.44724812666503,-116.46817788363741,-116.48807372003041,-116.47001992674006,-116.48941692179491,-116.47168192665988,-116.38294811618967,-116.44049415281913,-116.42494662760123,-116.4450875334618,-116.36006749135001,-116.38216842557684,-116.3690536067847,-116.45880077368739,-116.47715883690182,-116.4610581862741,-116.51273003269837,-116.49559425742186,-116.54565381080207,-116.49443171449064,-116.47810933133432,-116.49527620469183,point1,-116.62925998829235,-116.5463821723461,-117.2611084409984,0.1933485041112895,3.584311946620829,21.34900403053294
HDOK,PLFL,17472,1,1,-134,-18,12,2,58,-115.3527782363496,-115.80207865879,-115.81388743717007,-114.38639780147992,-117.28861711566132,-115.30640599813482,-114.44882250007493,-116.34794883565057,-116.16636329154244,-115.86855836927568,-115.36013837153575,-115.14650222597828,-116.3644456100624,-116.42485845480299,-114.65747536811921,-115.09504457191001,-114.54256616187092,-116.28800305738689,-117.95719760515173,-115.30952691242051,-114.8462339428054,-117.39138757290856,-114.5091050349025,-115.4931323524022,-117.57081843275202,-115.87630282278172,-116.63069918790012,-114.84297747725836,-116.27198818263909,-116.31895665804362,-116.23431945513394,-117.19966052812316,-118.06694809577223,-115.47118040594374,-116.33921651459954,-116.51575997426882,-117.11102467029959,-118.69086935121635,-115.53816400482386,-116.39783204827782,-114.06913841831556,-116.73291496623001,-115.03226895929714,-116.59343864621593,-116.71951899500114,-116.69900456506812,-117.32581682336554,-116.4270186475663,-115.81066100407415,-117.6305718419701,-116.54028961404272,-116.10269739855104,-115.32499923437501,-115.3390638879299,-113.57339374253326,-115.4761659396436,-117.64192780615856,-117.34648799268525,point1,-116.06257882378003,-116.20034137333819,-118.69086935121635,1.1490938100355885,-0.07169516830391501,-0.2875759916183429
HDOK,PLFL,17472,1,1,-134,-18,12,2,58,-114.18898477417292,-114.98545747252703,-115.57409720538769,-115.92734946644917,-113.67953583166761,-114.87051928939458,-114.93814137150545,-114.43832058844978,-113.82862065629173,-116.78575098893825,-116.57487380851468,-114.96254595617485,-114.37844718273227,-117.2809111409813,-114.83680805751315,-116.64239563799859,-117.47839114249157,-116.79468239327507,-116.42847360232116,-114.78306491714973,-115.43379714486514,-116.36338990771509,-114.39834644148812,-115.43661777581615,-115.00603714428019,-114.67368569537604,-116.78057331108785,-116.26536110337726,-115.65698332337908,-115.83266257633291,-114.39844841970205,-115.88980932384561,-115.74697986283503,-115.6132678247255,-116.23672197207372,-116.30789878410123,-115.10284898435195,-115.84747311463582,-117.83015584678202,-113.87216622170463,-116.42187415676435,-116.34419162145215,-115.29274453968317,-116.37581957035516,-114.88033393629317,-117.71922766033045,-116.3897343025953,-117.12125827257715,-114.92971993751804,-116.71473691249103,-116.9410159085069,-117.30501144390209,-116.46237297536788,-115.432128295901,-116.50334055332942,-117.82233037935218,-116.10447368004026,-117.73933775169189,point1,-115.83741807173386,-115.86864121924071,-117.83015584678202,1.1542854670061402,0.034019292870803304,-0.783847254157394
HDOK,PLFL,17472,1,1,-134,-18,12,2,58,-113.0268771427077,-114.57039717837971,-115.66307685210712,-114.74933591600009,-116.55696238388265,-116.31416682361156,-115.11486480759382,-114.01551633157526,-115.8992953805734,-116.28554755346327,-115.01721848603412,-116.63994160572423,-113.9487951044865,-116.51637353614605,-116.97897599874132,-116.21126737354084,-116.71628969349881,-116.98831858790354,-116.79591736833993,-116.1402917285208,-116.71092796930185,-115.7022215993281,-114.09254959133897,-115.91843334050722,-116.926986868883,-116.70147165676038,-115.5647497804864,-114.1595984479896,-116.37014442637891,-116.67717157996438,-115.69096825109416,-117.06373333295313,-116.35089809268584,-116.96076978751262,-116.80504273646193,-116.23458796115365,-115.85698423137227,-116.37142117060142,-116.41217852346632,-116.67664428513679,-115.70384017303593,-117.08004242111826,-116.04781243093271,-117.28091510002983,-116.97384974836602,-116.16073822675247,-116.2984127254109,-115.99500748309765,-118.74207065216116,-115.22407151403908,-117.20220785398857,-117.33564921340441,-115.69684304776379,-115.89192775004106,-116.0958222816716,-116.64821794142725,-118.68313522588224,-118.07657224472035,point1,-116.18162154344914,-116.30628977451123,-118.74207065216116,1.1335452517506714,0.4887445837020818,1.235927099809484
HDOK,PLFL,17472,1,1,-134,-18,12,2,58,-114.04357293440567,-115.56730681062966,-117.20068830107763,-116.09142296510429,-115.49587916643885,-114.79650633080115,-114.74296205347774,-113.54002031366879,-116.27202347093413,-115.70215776852497,-114.8840360419546,-117.20876919588272,-115.29122956735529,-116.37857784611575,-114.52509754688234,-115.91281908623596,-116.65427240459974,-114.94335786976892,-115.8475601293394,-115.44665974497839,-115.31992053553964,-116.78543522224423,-116.01933952082145,-116.86082492823401,-115.43750758262476,-115.78921849042544,-117.43164307170586,-115.55896123840796,-116.65472440974948,-116.23805235775609,-116.99382248433604,-116.97012972055603,-116.03405513897577,-115.75765600172605,-117.24964389215897,-115.0438936304299,-115.94907127600774,-116.06519179922267,-115.97718837764498,-117.57246265557227,-117.89272817950894,-115.99639031334426,-116.57782174176599,-116.361337310227,-117.49825814466787,-115.22185739139174,-114.84454055768987,-114.90823826523521,-114.63665461563207,-113.87703249348655,-114.90949028936367,-114.57505300486888,-117.28168156311277,-116.72126248589879,-115.17133283991083,-117.06994585209374,-117.69240124512582,-114.66618634875906,point1,-115.89923921593787,-115.93094518112184,-117.89272817950894,1.0566343315692277,0.052382763144180985,-0.6832912992066698
HDOK,PLFL,17472,1,1,-134,-18,12,2,58,-114.165990851687,-116.13548187867339,-113.94092463650665,-114.05830924461536,-117.05963205553537,-115.24706432694701,-115.57402879003659,-114.4318147987378,-114.83224956307177,-115.6653872034418,-116.37783755322113,-115.24730851278454,-116.15521031899337,-117.3537847843878,-116.25461494642981,-115.0791518547986,-115.84970607781109,-117.16370078425525,-115.60466214610587,-114.84765598306775,-115.30436691400499,-116.04899365462818,-117.28011756235097,-117.37393899657427,-116.02060619522948,-117.42443509365536,-114.93767303781195,-115.15394099641216,-116.49515899086907,-113.87297492686356,-118.19962740489558,-116.44383465969106,-115.33036097323068,-116.75124550897213,-116.26123216735496,-116.46960930863351,-116.5873627131954,-115.643490475924,-115.91085608024018,-115.63071205934577,-117.13309270790633,-114.95975900166457,-115.55158873674434,-117.96168838980155,-114.9510816933457,-115.49801602888772,-116.61765514501755,-116.13190356493533,-117.55119645847189,-115.38529309448045,-117.03393549996045,-114.68200388601399,-116.10531882789854,-116.5216532119691,-117.87867222078205,-117.53000024304002,-115.79220117241366,-117.76950972261275,point1,-116.02137282132652,-116.03479992492882,-118.19962740489558,1.14146617515664,-0.029523342826940375,-0.6387595911955359
HDOK,PLFL,17472,1,1,-134,-18,12,2,58,-116.35477875096421,-114.49964386864944,-115.83595334849431,-115.28610753066538,-113.21979822228126,-116.57827410930243,-115.35872252591133,-116.81992531252197,-115.82554071951509,-117.27922907569682,-115.65824972024312,-116.76842489629509,-115.99982225846631,-115.24798963786658,-114.45317807113335,-115.4987625856899,-115.09939682647115,-115.15301692896031,-115.55469992918248,-116.61837153068088,-114.8922483635089,-115.39333576771116,-117.01320732325239,-116.52427717963448,-116.56614267592144,-115.356452750982,-116.05917110061223,-115.02322033186884,-118.45954890690058,-117.83005323904378,-116.48405612441957,-113.87739894539109,-115.20574873982467,-117.33505245861612,-116.67746571370674,-115.27792451369275,-116.73877256371969,-117.56778715012676,-116.28309082646993,-115.67508951654816,-116.66667990926217,-115.30279558366279,-117.05285643875281,-117.06718243051101,-117.6010623673491,-116.71056715966147,-116.38909319819007,-114.11364007278398,-116.77566796433437,-116.64823726096097,-116.22385279737881,-116.00214961636375,-114.9615824513661,-115.17695005664064,-117.46375352947248,-116.57015955003358,-116.58941301459018,-116.10447771668835,point1,-116.04775950274039,-116.16416525703357,-118.45954890690058,1.0438122505151746,0.2885006205740941,0.13219981997926444
HDOK,PLFL,17472,1,1,-134,-18,12,2,58,-113.44282017614827,-116.27783495175228,-115.74426231694672,-115.11741133918905,-115.34178129100422,-115.27187563703838,-115.57034063869816,-114.88448055902919,-115.77795168861066,-116.32735996511188,-117.23951812832406,-117.418926721233,-116.45780622346153,-115.70915172651296,-114.67186403197391,-116.635995345312,-115.25641840167836,-116.08829961668168,-115.61702814830005,-115.2329148672499,-114.61124795916206,-116.31934545440295,-116.57296280586971,-118.15372782745278,-115.25145838815936,-117.57640535030481,-115.7459857160143,-115.72667396680757,-117.96452855255642,-114.52313490088775,-114.84800333920583,-115.86801264798447,-116.20504218631517,-115.22328437084886,-117.44542262118564,-116.57058083591656,-116.22449803466667,-116.34075955704147,-116.90989180274342,-116.58271328715281,-116.4347693406984,-116.01342534658171,-116.84534132700787,-115.55832746989924,-115.88676921993668,-117.58104633042846,-117.19550734392443,-117.7917767315598,-118.11856607079598,-115.01262736613371,-116.53436886375377,-116.08455398630137,-117.0054839734398,-116.35366941051838,-115.35854924270917,-114.12300711487958,-113.7860457109255,-116.03767010029243,point1,-116.04257286773655,-116.0611120432969,-118.15372782745278,1.0888710083546405,0.06459881096345124,-0.10332050853747932
HDOK,PLFL,17472,1,1,-134,-18,12,2,58,-114.58913135858175,-115.09868477809218,-115.27239727315285,-115.56622531680048,-114.81883195931383,-115.05831767338631,-116.43267656872969,-116.17668744443873,-115.69357893365805,-115.78852469043966,-117.07045611283114,-115.02668416427426,-115.53744567430108,-115.20537945806211,-116.90960556635123,-116.29814709693714,-114.4666415153025,-116.44683799606673,-115.85887304883374,-117.47697014670851,-114.24995858904683,-116.69476574965873,-117.1512928782255,-117.0918771752586,-115.37557118533798,-115.77096408961947,-115.1141887263801,-114.77564079711112,-116.0389058675884,-115.04914372255622,-117.10174564580346,-115.59840112155952,-116.80304991806197,-115.51236314257974,-114.87428127886943,-116.86486614186013,-117.38369807362763,-115.31908252556899,-116.33008164107352,-116.55921735028654,-116.49782903946753,-116.85438784283514,-115.78554990652815,-117.84286757090165,-116.28433945122356,-115.93270131832774,-116.92892874110616,-117.7407438484525,-116.17228765674294,-115.5209578686115,-115.92272193684309,-116.98852619284617,-116.58765530754006,-116.73427005146318,-116.36349256755098,-115.62106634551576,-116.43396709969814,-115.46141501316158,point1,-116.0366362095716,-115.98580359295806,-117.84286757090165,0.7368238669921279,-0.03119809159873499,-0.7623788312290345
