hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,rssi_33,rssi_34,rssi_35,rssi_36,rssi_37,rssi_38,rssi_39,rssi_40,rssi_41,rssi_42,rssi_43,rssi_44,rssi_45,rssi_46,rssi_47,rssi_48,rssi_49,rssi_50,rssi_51,rssi_52,rssi_53,rssi_54,rssi_55,rssi_56,rssi_57,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,11,11,-112,0,12,2,58,-113.0,-114.98019821585925,-113.99452518861217,-114.6619149502673,-115.24702860691022,-114.79582222569788,-114.99802261599974,-114.99830836051812,-114.61745244363242,-114.43388174326562,-114.08111357735407,-114.16747294125331,-113.97945874137625,-113.90045009406224,-113.83246622323753,-113.9154352895567,-113.98833913789237,-113.92522106166314,-113.86886412661629,-113.75990512810102,-113.66138145630852,-113.73354696044863,-113.69536421113158,-113.76109108221802,-113.67502896689892,-113.73796493166054,-113.65757284784196,-113.58277645520008,-113.68935284955236,-113.65961072674921,-113.63172330677016,-113.60551736134474,-113.49933735004603,-113.43924597009536,-113.50082982026933,-113.59800898436406,-113.57507246493195,-113.5532975465406,-113.53259829932254,-113.5868773270405,-113.56539792208781,-113.54490960435493,-113.52534725491397,-113.43547770459938,-113.5259941729893,-113.57762035940036,-113.55753547220971,-113.53828023101806,-113.58844185770434,-113.63659310263891,-113.58107809416548,-113.69644191617223,-113.6730580303002,-113.71740530459208,-113.76008402869074,-113.66861639929199,-113.61353134828907,-113.75781818143578,56,-113.8359605271632,-113.67404349859956,-115.24702860691022,0.20142527733856197,-1.6575923680286084,2.323540354114901
HDOK,PLOK,17472,12,12,-112,0,12,2,58,-113.0,-116.9603964317185,-114.49128554774774,-115.32614536789715,-115.74503312588968,-114.99302541265608,-114.65836509511772,-114.7077335037537,-114.23676385242139,-113.86941147081038,-113.6773638392386,-113.80166866592715,-113.64538561102914,-113.59332518013065,-113.54852920235349,-113.50954878339357,-113.47529719207178,-113.44494339624346,-113.60057664436697,-113.565561669886,-113.53390018344986,-113.61293825809754,-113.58103345974426,-113.55176129686834,-113.52479747606476,-113.5948694185776,-113.56735287247922,-113.54175161563448,-113.60604639515955,-113.57989852861928,-113.51310262611928,-113.4503341887066,-113.43198217541571,-113.33451167290892,-113.40022810332451,-113.46243454965699,-113.36798834671482,-113.316189944902,-113.30436105847677,-113.25611288620425,-113.24673928776568,-113.23779819914925,-113.19336102880828,-113.186479888532,-113.25048925048553,-113.20669160059326,-113.12996100905302,-113.12547262992818,-113.18980051557773,-113.25155026299734,-113.20909632417577,-113.26952633649529,-113.26047666135977,-113.31861267664705,-113.37456134533662,-113.36214859341811,-113.41621801782568,-113.56699520069347,56,-113.65824023928656,-113.49242298773268,-116.9603964317185,0.4732047220185709,-2.8925104836910602,9.651685519311815
HDOK,PLOK,17472,13,13,-114,-1,12,2,58,-111.0,-116.94059464757774,-113.98357556583652,-114.9873931020807,-114.99054802073574,-114.39004193633242,-114.49246349000445,-114.854818405518,-114.49218909904204,-114.32283500206736,-114.18693804568613,-114.16936911625574,-114.0679339404945,-114.06245400701854,-113.98223886078596,-114.05456455545723,-113.98367730117823,-113.92085694276044,-113.92567769352053,-113.87170859378907,-113.82290827494128,-113.88636579848924,-113.78817626695611,-113.7484683574126,-113.71189173128649,-113.77307671917197,-113.73731693640899,-113.7040462134064,-113.76118535642007,-113.68519902926731,-113.57167256582487,-113.54795772120752,-113.56637934256449,-113.54367963707845,-113.60114276920373,-113.73330587968134,-113.7051800738845,-113.64061402488096,-113.54182681201468,-113.59576447806187,-113.50076084814273,-113.51885177131092,-113.42842455522486,-113.41317820760005,-113.5044817511185,-113.5568613974422,-113.53749833627853,-113.62254415996728,-113.70413096945121,-113.74833581317915,-113.7229514528622,-113.73229983231033,-113.64055953643884,-113.6191516149838,-113.56527385820124,-113.54654100107324,-113.49548595333526,-113.57786848677107,56,-113.84105579068957,-113.72762564258628,-116.94059464757774,0.4356604486790644,-0.6918982436068529,12.974433658492691
HDOK,PLOK,17472,14,14,-112,0,12,2,58,-112.0,-114.97029732378887,-113.49178778291827,-114.65926438352116,-114.24402788436541,-113.99422540383375,-114.16311077959845,-114.28404657516673,-113.99391876041305,-113.88111521946506,-113.68786524306725,-113.52923522618313,-113.48332750770429,-113.76700207706114,-113.7090935150286,-113.65870282994021,-113.61442518495524,-113.57518628995017,-113.66197434205827,-113.56507748514412,-113.53344310452057,-113.61250582049085,-113.58062353147592,-113.65213097820228,-113.52252496043747,-113.49770508764357,-113.47468301832912,-113.45326340020156,-113.56555007917068,-113.5411494258377,-113.47599178126659,-113.41476282287024,-113.39786041344016,-113.38191471498168,-113.52467623783537,-113.58204357165641,-113.52136459513181,-113.50162330650573,-113.44544653101828,-113.42896951276701,-113.3766699717632,-113.29054661045359,-113.244215762985,-113.23552485493008,-113.29780314316332,-113.28737276337715,-113.24260852280989,-113.30330241306105,-113.29289402785626,-113.28290279075975,-113.27330642205891,-113.36531255769358,-113.31947052508842,-113.24195229299023,-113.36700246028886,-113.3548402055614,-113.31011366334606,-113.39859376245471,56,-113.543557749286,-113.49474643528092,-114.97029732378887,0.154191858298474,-0.4558973130582994,6.521460225115611
HDOK,PLOK,17472,15,15,-112,0,12,2,58,-112.0,-114.97029732378887,-113.98955261239487,-115.32416499991822,-115.7435483516659,-114.99183878310316,-115.32904064026327,-115.42599851949704,-114.86379226130332,-114.53876981431758,-114.38068952916466,-114.15694606281959,-114.05658850625596,-114.13268937996554,-114.04717147175509,-114.11488282617087,-114.0399410106309,-114.10125303820554,-114.15599738660845,-114.03029787068284,-113.9166369705251,-113.97504153959167,-113.92428846080149,-114.07924120513124,-113.9776315279379,-113.93119414790844,-113.88812041458604,-113.84804482856933,-113.8547445954606,-113.90415663010282,-113.86593015098718,-113.78852527581421,-113.7563913035224,-113.68599755447133,-113.73784514107574,-113.74803892069917,-113.71934803195136,-113.61638086679518,-113.55591093091795,-113.60932762695401,-113.58702655270021,-113.56575447853879,-113.47364344711679,-113.38561388056968,-113.40729903489974,-113.35800921461512,-113.27601704051789,-113.26648441891247,-113.25733951150761,-113.38500960634002,-113.33802858221877,-113.42785081428084,-113.3799089835149,-113.46747415036543,-113.45191880746707,-113.43694247284463,-113.55456759368904,-113.6679003381357,56,-113.90453526621637,-113.85139471201497,-115.7435483516659,0.3865067530372665,-0.7379915382366488,2.274018407262106
HDOK,PLOK,17472,16,16,-114,-1,12,2,58,-113.0,-116.9603964317185,-113.99352071827113,-114.6612447515001,-114.74601939311522,-114.39541633916595,-114.66485117629426,-114.71328230509907,-114.49565502173326,-114.55289501123117,-114.49609522206075,-114.26150562502615,-114.23882171053897,-114.13889138833326,-114.05290522925749,-113.90701854614538,-113.77882979952402,-113.72909157023484,-113.80650496557845,-113.75948390498047,-113.71696619093373,-113.7322246658863,-113.90231963339954,-113.85686124054443,-113.81498760229778,-113.77627578918037,-113.74036802880313,-113.79720771921227,-113.80614891546006,-113.85765761030063,-113.90595425056061,-113.86837231018627,-113.91448838781177,-113.91791557568116,-114.03952770787754,-114.19352897993586,-114.18610621317978,-114.17905936630181,-114.13494993285059,-114.24092782011644,-114.19551050726889,-114.15218880733148,-114.18262537640348,-114.17612628586396,-114.27579672984534,-114.26613711173147,-114.25688305103333,-114.24801124761947,-114.23950028137199,-114.26544254129533,-114.22251736136553,-114.34998000800083,-114.33822900282071,-114.2935045084505,-114.31701335833796,-114.3396471507785,-114.29542216793772,-114.38438552351415,56,-114.16781375984998,-114.18436579479163,-116.9603964317185,0.23118763753239216,-3.195962734557624,19.163803343200474
HDOK,PLOK,17472,17,17,-112,0,12,2,58,-113.0,-116.9603964317185,-114.98905037722434,-114.99269423557298,-115.4950292622473,-114.79322266272284,-115.16377529077259,-115.7181340707393,-115.37286690030362,-114.99006767701255,-114.68289324025748,-114.4307478739444,-114.21989628363193,-114.28282383411586,-114.03497104032917,-113.96142234941111,-113.829576608805,-113.7765975476457,-113.79020540637083,-113.74413464687939,-113.64649384410697,-113.71946194585418,-113.68201235284528,-113.59727344714874,-113.51921687586027,-113.49455413668603,-113.47167781916949,-113.45039380778562,-113.5628070082813,-113.5385247047184,-113.47347802968919,-113.37087008478305,-113.3150044040354,-113.2623008351706,-113.40978205319206,-113.51050157078852,-113.45256657392981,-113.4354302983908,-113.41914054715481,-113.47761636466242,-113.42353637417898,-113.40818869165909,-113.39353464673079,-113.37952992652207,-113.50731675276661,-113.48954828213519,-113.4725258177067,-113.4216701480782,-113.37288289846155,-113.36016307117443,-113.31402486840446,-113.40465705174482,-113.3239177614269,-113.37993353338003,-113.36729113083072,-113.32197987322589,-113.44340018670181,-113.56038962959474,56,-113.8514155704945,-113.50093544472632,-116.9603964317185,0.5737901576902104,-2.0146019451274584,4.241287446334006
HDOK,PLOK,17472,18,18,-112,0,12,2,58,-113.0,-113.0,-112.50223517052339,-113.33345113232417,-113.7505105981684,-113.19820435263632,-113.66866991472604,-113.86105554845345,-113.6246575759784,-113.5537628617856,-113.49687391693911,-113.35619376744688,-113.23855276662437,-113.38064100101847,-113.35190265248093,-113.46902226036579,-113.30305593058034,-113.21983916782752,-113.38918393302005,-113.36649363093967,-113.34597644644366,-113.54296643520854,-113.51470382572207,-113.48877331523816,-113.41601899717152,-113.39625814482679,-113.33167220309318,-113.27158176598056,-113.34778844686898,-113.33278311730079,-113.27643490914423,-113.22348422138325,-113.21437679515627,-113.24586349326253,-113.31507778183446,-113.41947983453852,-113.36503595884493,-113.31334934816948,-113.26421603281065,-113.32842249108582,-113.2798029187841,-113.26966370376635,-113.25998272996361,-113.17955670884301,-113.24381042888872,-113.20024670079137,-113.15851198837338,-113.15303756258339,-113.21641950641097,-113.27726122354184,-113.26785622290396,-113.32630351473885,-113.31534747666717,-113.17112572275295,-113.13215616223225,-113.0946371449878,-113.05850053324951,-113.18815071909663,56,-113.30708518473273,-113.30820263937491,-113.0,0.03790659136200832,0.5600188958196094,4.944643471797447
HDOK,PLOK,17472,19,19,-113,0,12,2,58,-113.0,-114.98019821585925,-113.99452518861217,-114.99469886650772,-114.99602549301447,-114.39441952477456,-114.83193747295196,-114.85622357309317,-114.62043937551547,-114.20954223018342,-114.08528402153335,-113.88930354210663,-113.81216223587177,-113.74664866501365,-113.61477690665473,-113.57108869227075,-113.66713933107609,-113.56067119342042,-113.64834338704476,-113.61054350360739,-113.57636382721235,-113.54529180422647,-113.51690815411537,-113.59162554834565,-113.51384498215594,-113.58443716681256,-113.55740317962146,-113.48712684764827,-113.59792047309448,-113.52897820793764,-113.50661374834611,-113.48559775590347,-113.42505669452066,-113.44809963186802,-113.50933413642464,-113.60618261382108,-113.54457778898289,-113.48609288950475,-113.43049711775193,-113.41457307665523,-113.39939991765647,-113.38492686762258,-113.29930757884017,-113.25306911100036,-113.38531945328891,-113.33679945491184,-113.25554478188091,-113.31579190093824,-113.30495491577764,-113.29455225618919,-113.28456072501884,-113.40992985803832,-113.39616596360102,-113.44976715306895,-113.5013516171243,-113.451597670547,-113.40367693109381,-113.52197301566346,56,-113.67395148683315,-113.51944058488942,-114.99602549301447,0.2207190003535938,-1.7951175525542795,2.4006032768903
HDOK,PLOK,17472,20,20,-112,0,12,2,58,-112.0,-113.98019821585925,-113.4922900180888,-114.32681556666437,-114.49528223789565,-114.19502754359529,-114.162279351197,-114.2833352934379,-114.12032142658879,-113.99317197639971,-113.78841023006417,-113.62033073073444,-113.47977756392116,-113.60240725031534,-113.5569255773616,-113.51734848239215,-113.48257259955747,-113.57947971844148,-113.66600624983778,-113.62717658161647,-113.59206574598308,-113.66796809001984,-113.63319886663238,-113.70205759537504,-113.66774899978682,-113.63603100258516,-113.60661046783237,-113.57923774946784,-113.64187974971614,-113.52789587049048,-113.59013437639662,-113.5656536755965,-113.54260216400151,-113.52085541514737,-113.65813464989023,-113.74919708292974,-113.72046177309261,-113.6931817392363,-113.6672493267808,-113.64256784747872,-113.58245071851043,-113.56134445879776,-113.54119209522776,-113.4863456814219,-113.57506673176286,-113.55492535799841,-113.5008578378755,-113.48356003540063,-113.53559948715503,-113.585553297532,-113.56569069624051,-113.68157373134551,-113.62511284450612,-113.67106247847455,-113.64873267275001,-113.75979178353022,-113.86675887011768,-113.96982251333769,56,-113.66843672576539,-113.6261447130613,-114.49528223789565,0.10014799673323597,1.7664953944901671,13.28856739893544
