hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,rssi_33,rssi_34,rssi_35,rssi_36,rssi_37,rssi_38,rssi_39,rssi_40,rssi_41,rssi_42,rssi_43,rssi_44,rssi_45,rssi_46,rssi_47,rssi_48,rssi_49,rssi_50,rssi_51,rssi_52,rssi_53,rssi_54,rssi_55,rssi_56,rssi_57,location_id,rssi_variance
HDOK,PLOK,17472,11,11,-95,3,12,2,58,-93,-99,-95,-116,-100,-95,-100,-101,-95,-95,-97,-95,-95,-98,-95,-96,-95,-95,-99,-95,-96,-100,-98,-96,-96,-97,-96,-97,-100,-96,-96,-95,-97,-98,-100,-103,-99,-97,-96,-99,-95,-98,-95,-95,-101,-95,-95,-97,-95,-94,-94,-101,-94,-95,-99,-93,-94,-102,340,4.743484224965706
HDOK,PLOK,17472,12,12,-96,3,12,2,58,-96,-101,-96,-101,-100,-97,-103,-101,-98,-95,-98,-97,-97,-98,-95,-98,-96,-97,-101,-97,-96,-100,-98,-97,-96,-98,-97,-97,-100,-98,-97,-97,-98,-99,-100,-101,-96,-97,-97,-98,-100,-99,-96,-96,-101,-96,-97,-97,-97,-97,-96,-101,-97,-96,-100,-97,-99,-103,340,2.8093278463648828
HDOK,PLOK,17472,13,13,-96,3,12,2,58,-95,-99,-96,-101,-101,-96,-101,-101,-97,-96,-97,-96,-96,-100,-97,-96,-96,-96,-103,-97,-96,-101,-99,-98,-96,-97,-96,-95,-100,-95,-94,-96,-95,-97,-99,-103,-95,-95,-97,-98,-96,-98,-96,-96,-101,-95,-96,-97,-97,-97,-97,-101,-97,-96,-95,-99,-97,-105,340,4.122085048010975
HDOK,PLOK,17472,14,14,-96,3,12,2,58,-97,-99,-95,-101,-101,-95,-100,-101,-95,-95,-95,-95,-94,-98,-96,-95,-95,-95,-100,-96,-95,-99,-97,-95,-95,-96,-95,-95,-100,-95,-95,-95,-97,-97,-100,-103,-95,-94,-95,-97,-96,-97,-95,-94,-100,-95,-95,-96,-95,-96,-95,-100,-96,-96,-99,-95,-98,-101,340,4.133401920438957
HDOK,PLOK,17472,15,15,-95,3,12,2,58,-94,-96,-95,-101,-100,-94,-100,-101,-95,-95,-96,-95,-95,-97,-95,-96,-95,-95,-100,-95,-97,-96,-95,-95,-95,-96,-95,-95,-101,-95,-96,-96,-97,-96,-99,-101,-95,-95,-95,-97,-98,-97,-96,-95,-100,-95,-95,-96,-95,-96,-95,-103,-95,-99,-95,-95,-95,-101,340,3.87105624142661
HDOK,PLOK,17472,16,16,-98,1,12,2,58,-100,-103,-100,-103,-101,-100,-102,-103,-99,-101,-101,-101,-103,-101,-100,-100,-100,-101,-101,-101,-100,-101,-103,-101,-100,-98,-99,-99,-103,-97,-98,-100,-103,-101,-101,-101,-99,-98,-99,-98,-101,-97,-95,-95,-101,-95,-95,-97,-97,-95,-95,-100,-97,-98,-99,-101,-100,-102,340,4.356652949245542
HDOK,PLOK,17472,17,17,-88,6,12,2,58,-87,-98,-86,-94,-93,-85,-94,-93,-85,-85,-86,-86,-86,-89,-87,-88,-86,-86,-91,-85,-84,-89,-86,-84,-84,-85,-84,-84,-90,-85,-86,-87,-87,-88,-91,-95,-87,-87,-87,-89,-89,-88,-87,-87,-95,-88,-87,-89,-89,-89,-88,-95,-87,-88,-93,-87,-93,-101,340,9.113854595336077
HDOK,PLOK,17472,18,18,-98,0,12,2,58,-94,-99,-94,-100,-100,-93,-101,-100,-94,-95,-96,-96,-97,-100,-95,-99,-95,-97,-100,-99,-99,-103,-101,-101,-101,-101,-101,-101,-101,-101,-101,-100,-100,-100,-101,-101,-99,-99,-100,-99,-98,-99,-99,-100,-101,-101,-100,-100,-99,-99,-98,-101,-98,-101,-99,-99,-98,-103,340,3.7558299039780514
HDOK,PLOK,17472,19,19,-91,6,12,2,58,-89,-89,-88,-97,-94,-87,-97,-95,-88,-89,-89,-89,-89,-91,-89,-90,-89,-89,-95,-89,-89,-94,-90,-90,-90,-91,-89,-89,-97,-89,-89,-89,-94,-91,-93,-99,-90,-90,-90,-92,-100,-92,-89,-89,-97,-89,-89,-89,-89,-89,-89,-95,-89,-88,-91,-89,-90,-102,340,7.731481481481482
HDOK,PLOK,17472,20,20,-92,5,12,2,58,-91,-101,-91,-100,-99,-92,-100,-99,-93,-94,-93,-93,-92,-95,-93,-95,-94,-93,-98,-92,-92,-95,-93,-92,-91,-93,-92,-93,-97,-92,-91,-91,-91,-92,-95,-98,-91,-91,-91,-94,-93,-94,-93,-93,-100,-93,-93,-94,-94,-92,-91,-99,-92,-92,-94,-94,-99,-102,340,7.061728395061729
HDOK,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
