rssi,snr,sf,tp,location_id
-117.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-113.0,-8.0,9.0,2.0,302
-114.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-114.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-114.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-118.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-114.0,-9.0,9.0,2.0,302
-101.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-113.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-112.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-114.0,-10.0,9.0,2.0,302
-114.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-114.0,-10.0,9.0,2.0,302
-113.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-113.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-114.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-113.0,-10.0,9.0,2.0,302
-114.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-111.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-113.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-114.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-112.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-114.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-112.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-112.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-113.0,-8.0,9.0,2.0,302
-114.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-118.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-114.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-113.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-113.0,-8.0,9.0,2.0,302
-114.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-112.0,-9.0,9.0,2.0,302
-114.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-112.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-114.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-112.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-114.0,-6.0,9.0,2.0,302
-114.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-112.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-114.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-113.0,-6.0,9.0,2.0,302
-114.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-114.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-113.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-118.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-117.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-117.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-114.0,-6.0,9.0,2.0,302
-114.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-113.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-113.0,-5.0,9.0,2.0,302
-113.0,-5.0,9.0,2.0,302
-115.0,-5.0,9.0,2.0,302
-117.0,-5.0,9.0,2.0,302
-114.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-113.0,-5.0,9.0,2.0,302
-114.0,-5.0,9.0,2.0,302
-115.0,-5.0,9.0,2.0,302
-113.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-113.0,-5.0,9.0,2.0,302
-114.0,-5.0,9.0,2.0,302
-113.0,-5.0,9.0,2.0,302
-113.0,-5.0,9.0,2.0,302
-113.0,-5.0,9.0,2.0,302
-117.0,-5.0,9.0,2.0,302
-115.0,-5.0,9.0,2.0,302
-113.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-112.0,-5.0,9.0,2.0,302
-117.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-112.0,-5.0,9.0,2.0,302
-114.0,-5.0,9.0,2.0,302
-115.0,-5.0,9.0,2.0,302
-113.0,-5.0,9.0,2.0,302
-114.0,-5.0,9.0,2.0,302
-115.0,-5.0,9.0,2.0,302
-114.0,-5.0,9.0,2.0,302
-114.0,-5.0,9.0,2.0,302
-115.0,-5.0,9.0,2.0,302
-117.0,-5.0,9.0,2.0,302
-114.0,-5.0,9.0,2.0,302
-117.0,-5.0,9.0,2.0,302
-113.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-114.0,-5.0,9.0,2.0,302
-115.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-117.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-113.0,-5.0,9.0,2.0,302
-118.0,-5.0,9.0,2.0,302
-114.0,-5.0,9.0,2.0,302
-117.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-114.0,-5.0,9.0,2.0,302
-114.0,-5.0,9.0,2.0,302
-115.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-117.0,-5.0,9.0,2.0,302
-114.0,-5.0,9.0,2.0,302
-115.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-114.0,-5.0,9.0,2.0,302
-115.0,-5.0,9.0,2.0,302
-115.0,-5.0,9.0,2.0,302
-116.0,-5.0,9.0,2.0,302
-114.0,-8.0,9.0,2.0,302
-114.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-118.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-114.0,-8.0,9.0,2.0,302
-114.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-114.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-118.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-114.0,-6.0,9.0,2.0,302
-113.0,-6.0,9.0,2.0,302
-113.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-113.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-113.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-117.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-114.0,-6.0,9.0,2.0,302
-117.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-112.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-117.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-115.0,-6.0,9.0,2.0,302
-116.0,-6.0,9.0,2.0,302
-114.0,-8.0,9.0,2.0,302
-113.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-118.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-114.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-118.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-114.0,-8.0,9.0,2.0,302
-111.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-109.0,-8.0,9.0,2.0,302
-113.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-115.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-113.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-116.0,-8.0,9.0,2.0,302
-117.0,-8.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-118.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-118.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-111.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-114.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-114.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-114.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-111.0,-9.0,9.0,2.0,302
-118.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-120.0,-7.0,9.0,2.0,302
-115.0,-7.0,9.0,2.0,302
-118.0,-7.0,9.0,2.0,302
-116.0,-7.0,9.0,2.0,302
-114.0,-7.0,9.0,2.0,302
-117.0,-7.0,9.0,2.0,302
-111.0,-7.0,9.0,2.0,302
-115.0,-7.0,9.0,2.0,302
-114.0,-7.0,9.0,2.0,302
-114.0,-7.0,9.0,2.0,302
-116.0,-7.0,9.0,2.0,302
-113.0,-7.0,9.0,2.0,302
-116.0,-7.0,9.0,2.0,302
-117.0,-7.0,9.0,2.0,302
-115.0,-7.0,9.0,2.0,302
-116.0,-7.0,9.0,2.0,302
-116.0,-7.0,9.0,2.0,302
-118.0,-7.0,9.0,2.0,302
-111.0,-7.0,9.0,2.0,302
-116.0,-7.0,9.0,2.0,302
-115.0,-7.0,9.0,2.0,302
-117.0,-7.0,9.0,2.0,302
-116.0,-7.0,9.0,2.0,302
-116.0,-7.0,9.0,2.0,302
-117.0,-7.0,9.0,2.0,302
-117.0,-7.0,9.0,2.0,302
-116.0,-7.0,9.0,2.0,302
-115.0,-7.0,9.0,2.0,302
-114.0,-7.0,9.0,2.0,302
-117.0,-7.0,9.0,2.0,302
-112.0,-7.0,9.0,2.0,302
-115.0,-7.0,9.0,2.0,302
-116.0,-7.0,9.0,2.0,302
-113.0,-11.0,9.0,2.0,302
-115.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-117.0,-11.0,9.0,2.0,302
-115.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-114.0,-11.0,9.0,2.0,302
-113.0,-11.0,9.0,2.0,302
-117.0,-11.0,9.0,2.0,302
-115.0,-11.0,9.0,2.0,302
-117.0,-11.0,9.0,2.0,302
-114.0,-11.0,9.0,2.0,302
-117.0,-11.0,9.0,2.0,302
-115.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-115.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-117.0,-11.0,9.0,2.0,302
-114.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-115.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-115.0,-11.0,9.0,2.0,302
-116.0,-11.0,9.0,2.0,302
-115.0,-11.0,9.0,2.0,302
-115.0,-11.0,9.0,2.0,302
-113.0,-11.0,9.0,2.0,302
-118.0,-11.0,9.0,2.0,302
-115.0,-11.0,9.0,2.0,302
-114.0,-11.0,9.0,2.0,302
-114.0,-10.0,9.0,2.0,302
-118.0,-10.0,9.0,2.0,302
-114.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-113.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-114.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-114.0,-10.0,9.0,2.0,302
-113.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-112.0,-10.0,9.0,2.0,302
-111.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-113.0,-10.0,9.0,2.0,302
-113.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-114.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-113.0,-10.0,9.0,2.0,302
-112.0,-10.0,9.0,2.0,302
-113.0,-10.0,9.0,2.0,302
-114.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-118.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-113.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-114.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-114.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-114.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-119.0,-10.0,9.0,2.0,302
-114.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-113.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-118.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-114.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-117.0,-10.0,9.0,2.0,302
-118.0,-10.0,9.0,2.0,302
-116.0,-10.0,9.0,2.0,302
-112.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-115.0,-10.0,9.0,2.0,302
-114.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-118.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-119.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-114.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-118.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-120.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-115.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-114.0,-9.0,9.0,2.0,302
-117.0,-9.0,9.0,2.0,302
-113.0,-9.0,9.0,2.0,302
-116.0,-9.0,9.0,2.0,302
-113.0,-14.0,9.0,2.0,302
-116.0,-14.0,9.0,2.0,302
-115.0,-14.0,9.0,2.0,302
-117.0,-14.0,9.0,2.0,302
-115.0,-14.0,9.0,2.0,302
