hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id
HDOK,PLOK,17472,12,12,-125,-8,9,2,33,-118,-117,-119,-118,-118,-118,-119,-118,-116,-118,-118,-118,-119,-117,-118,-117,-117,-118,-118,-118,-118,-117,-119,-117,-121,-117,-117,-117,-118,-119,-118,-119,-118,366
HDOK,PLOK,17472,13,13,-126,-9,9,2,33,-116,-118,-115,-119,-118,-117,-118,-119,-118,-118,-118,-118,-119,-117,-116,-118,-119,-118,-118,-118,-117,-119,-117,-115,-118,-117,-118,-117,-117,-118,-117,-117,-119,366
HDOK,PLOK,17472,14,14,-126,-9,9,2,33,-118,-118,-117,-118,-117,-117,-118,-119,-118,-118,-117,-117,-117,-118,-118,-124,-118,-118,-117,-118,-116,-118,-118,-117,-117,-119,-118,-118,-118,-119,-118,-118,-121,366
HDOK,PLOK,17472,15,15,-126,-10,9,2,33,-115,-119,-117,-118,-119,-118,-119,-115,-118,-121,-117,-116,-119,-116,-118,-117,-119,-118,-118,-117,-118,-118,-118,-117,-116,-119,-117,-118,-117,-118,-117,-117,-119,366
HDOK,PLOK,17472,16,16,-126,-9,9,2,33,-116,-118,-116,-118,-116,-118,-118,-118,-117,-118,-117,-119,-119,-118,-117,-118,-118,-124,-119,-119,-121,-119,-119,-117,-118,-118,-117,-118,-116,-118,-113,-118,-118,366
HDOK,PLOK,17472,17,17,-127,-10,9,2,33,-118,-118,-117,-117,-119,-119,-119,-118,-117,-118,-117,-119,-118,-118,-117,-121,-115,-118,-117,-121,-118,-117,-118,-116,-118,-118,-118,-118,-118,-117,-119,-116,-119,366
HDOK,PLOK,17472,18,18,-127,-10,9,2,33,-116,-119,-118,-118,-119,-118,-119,-118,-117,-119,-119,-118,-117,-117,-119,-119,-117,-115,-118,-118,-119,-118,-118,-119,-118,-117,-118,-119,-117,-116,-119,-117,-119,366
HDOK,PLOK,17472,19,19,-127,-10,9,2,33,-116,-118,-117,-117,-119,-118,-117,-117,-116,-118,-117,-117,-118,-118,-117,-118,-112,-118,-118,-113,-115,-118,-116,-117,-118,-119,-118,-118,-118,-118,-118,-115,-117,366
HDOK,PLOK,17472,20,20,-126,-9,9,2,33,-118,-118,-117,-118,-118,-117,-119,-118,-117,-119,-117,-117,-117,-118,-118,-118,-117,-118,-118,-119,-118,-118,-115,-118,-119,-118,-117,-118,-118,-117,-117,-116,-118,366
HDOK,PLOK,17472,21,21,-129,-12,9,2,33,-116,-117,-117,-117,-117,-117,-118,-118,-118,-119,-118,-119,-114,-113,-118,-117,-118,-116,-119,-117,-117,-119,-116,-117,-119,-118,-117,-119,-118,-119,-118,-116,-121,366
