hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,23,23,-65,8,8,2,19,-61.0,-61.99009910792962,-60.50173293535286,-60.66754820045975,-60.75074538274735,-60.59999469523069,-61.33882479900854,-61.145356131653806,-61.38093966945023,-61.45119913141816,-61.30211512263807,-61.36770417978218,-61.42255173541308,-62.033791302927426,-62.10673994015301,-62.02809109819209,-61.958983375272354,-62.153191124186584,-62.265683686419294,point3,-61.44554166411765,-61.38093966945023,-62.265683686419294,0.30954009776159847,0.15917498540185476,-1.2188301485520325
HDOK,PLOK,17472,24,24,-64,8,8,2,19,-62.0,-62.0,-61.502235170523385,-61.335099383602945,-61.50149300175156,-61.80239523228915,-62.67515483232,-62.4330843438873,-62.75914320716184,-62.89997266487662,-62.704785432938586,-62.826513106095796,-62.668074957378245,-62.53351865558277,-62.71973769228024,-62.526463543426686,-62.42385549654084,-62.332924138746264,-62.19082139205759,point3,-62.30711959218208,-62.4330843438873,-62.0,0.223570636691927,0.7875908069505541,-0.5782374398924084
HDOK,PLOK,17472,25,25,-65,8,8,2,19,-61.0,-61.99009910792962,-61.497262594306086,-61.33178160077304,-61.24875213798368,-62.00200777863096,-62.84124929217922,-62.5751771017854,-62.75616323331375,-62.78383717588436,-62.600580728554554,-62.63811920269132,-62.49602300147224,-62.37534537749096,-62.49800660071672,-62.39155297044483,-62.29801353869724,-62.40670711065748,-62.68649312044684,point3,-62.23248271968202,-62.40670711065748,-62.84124929217922,0.30227204348045766,1.0824580203736507,-0.05201469037423623
HDOK,PLOK,17472,26,26,-65,8,8,2,19,-62.0,-61.00990089207038,-62.99603189412375,-64.32848808089894,-63.74577609802219,-63.79682460113263,-63.327193755900815,-63.13540584797902,-62.864158913252595,-62.65258857704396,-62.7910103084669,-62.6226864469272,-63.00238996692413,-62.84086593737742,-62.701880786598345,-63.00732029092968,-62.87238931572652,-63.00826443005465,-63.06867288746545,point3,-62.93536047531024,-62.99603189412375,-64.32848808089894,0.4433169523904777,0.7914012139387668,3.2687500365884934
HDOK,PLOK,17472,27,27,-65,8,8,2,19,-62.0,-63.98019821585925,-64.48781967704201,-63.99269721825643,-64.74528486576718,-63.993226602825935,-63.49061677206064,-63.130706865896094,-63.11410400946224,-63.10115392056528,-62.885299016327735,-62.896078916590085,-62.90509339560654,-62.832083475066916,-62.769261275527654,-62.85672190826025,-63.000791892685136,-62.93687854902579,-63.1843708308037,point3,-63.27907302145417,-63.10115392056528,-64.74528486576718,0.42981870338995176,-0.6836449320102208,0.356326884763988
HDOK,PLOK,17472,28,28,-64,8,8,2,19,-62.0,-64.97029732378887,-63.989552612394874,-62.99467758623537,-62.99600953820193,-62.394406773709946,-62.496095402526386,-62.85792548366573,-63.00299589830285,-63.45663077653749,-63.20425716610068,-63.56099106550548,-63.338841724257016,-63.15017760487259,-63.44083871994637,-63.33844764082748,-63.18125846575457,-63.04195725543243,-62.97848970178591,point3,-63.178623723149784,-63.15017760487259,-64.97029732378887,0.36538100175194427,-1.0082913256850663,3.3720297403995665
HDOK,PLOK,17472,29,29,-64,8,8,2,19,-60.0,-62.97029732378887,-61.989552612394874,-61.32746150247578,-61.24551315883221,-60.79461108164212,-61.164930572315164,-61.43010973312883,-61.75654644216557,-62.12465806335285,-61.906388540918634,-62.197134286174446,-62.006547157276465,-61.84468778538966,-62.23391322050289,-62.217290522392474,-62.068245462744045,-61.93616157597557,-62.122785670704225,point3,-61.7545702480092,-61.93616157597557,-62.97029732378887,0.3982148421900465,1.0188403233876109,2.1090041914006723
HDOK,PLOK,17472,30,30,-64,8,8,2,19,-62.0,-62.0,-63.49329448842984,-63.994701849191166,-63.99602772927135,-63.79602401506423,-63.32652760082671,-62.99032961970977,-62.73751078953168,-62.65380794392693,-62.68937280777629,-62.62458373732995,-62.830635669744204,-62.763631927876474,-62.63047793527019,-62.940991577947784,-62.8105191826569,-62.95034549513724,-62.83154632492513,point3,-62.9505436155061,-62.830635669744204,-62.0,0.29664430352421156,-0.44197965729188093,0.1249797892664879
HDOK,PLOK,17472,31,31,-65,8,8,2,19,-62.0,-63.98019821585925,-65.48334933599524,-64.65693061856973,-65.24329162100352,-64.59203428007382,-63.98887522091453,-63.70147014833883,-63.61236688596878,-63.542867087949205,-63.38436588332021,-63.34824216620997,-63.40477792511212,-63.2914606418504,-63.19395552298849,-63.25123588523618,-63.30156740066933,-63.28230847075961,-63.1432888185132,point3,-63.70539926996486,-63.40477792511212,-65.48334933599524,0.6281755289072644,-0.5946736482358634,0.9861670951281867
HDOK,PLOK,17472,32,32,-65,8,8,2,19,-62.0,-68.93069375550738,-66.97413264857246,-65.31882130588124,-65.23903520052927,-64.58863255458351,-64.32187615910927,-63.986350340795866,-63.734036972944224,-64.10470327760682,-63.8884837422412,-64.18091222759026,-64.07847576189347,-63.910814224469824,-64.14404736876295,-63.9916838038958,-63.857803904823236,-63.7391593991188,-63.633223966654626,point3,-64.45383613763053,-64.07847576189347,-68.93069375550738,1.9659569929526668,-1.8673119358809644,5.089795542426273
