realtime_average_rssi,average_rssi,rssi_variance,snr,median_rssi,mode_rssi,rssi_skewness,rssi_kurtosis,sf,tp,location_id,idx,Area,PLM_RSSI,residual
-87.7133051620394,-88.0,0.8108143529066522,8.0,-87.35595955712911,-89.59882745203409,-0.8660110433242523,-0.7493207889815405,11.0,2,12,17.0,3,-90.72467829636818,3.011373134328778
-91.33284708520108,-89.0,2.120216463813269,9.0,-91.00397731253658,-99.0,-4.629645697617423,24.027027434314714,11.0,2,12,17.0,3,-90.72467829636818,-0.6081687888328986
-92.3154890577232,-89.0,0.4454495598961743,9.0,-92.48279551449788,-93.38718891134576,1.3312761706388343,3.1332756158789867,11.0,2,12,17.0,3,-90.72467829636818,-1.5908107613550158
-90.78920780468265,-89.0,1.5349830593192524,9.0,-90.55370467793128,-97.0,-3.884155984283976,19.376404249282057,11.0,2,12,17.0,3,-90.72467829636818,-0.06452950831446458
-90.6524059778269,-90.0,0.3775614484044733,10.0,-90.73663307973476,-89.0,0.9266782250264304,2.024978262174617,11.0,2,12,17.0,3,-90.72467829636818,0.07227231854128036
-90.06621500621335,-88.0,1.700779835208681,9.0,-89.90764495572343,-97.0,-4.626740885428263,25.244831125968155,11.0,2,12,17.0,3,-90.72467829636818,0.6584632901548275
-89.62279823455367,-88.0,0.3780298646405433,10.0,-89.75286227203678,-88.0,1.6173558378728727,1.8975813419337209,11.0,2,12,17.0,3,-90.72467829636818,1.1018800618145121
-89.24073102793102,-88.0,1.2615302298594169,8.0,-88.93645654494247,-95.0,-4.261675588900739,21.34263987376452,11.0,2,12,17.0,3,-90.72467829636818,1.4839472684371628
-90.8939459120769,-89.0,0.4382141613135816,9.0,-90.9603895764133,-89.0,1.2827035368309931,2.4936689834779355,11.0,2,12,17.0,3,-90.72467829636818,-0.16926761570871918
-90.29561818389232,-89.0,1.5317434779831085,9.0,-90.03685417510229,-97.0,-5.005579537095718,27.273867664027375,11.0,2,12,17.0,3,-90.72467829636818,0.4290601124758666
-90.18351216543468,-89.0,0.1839716525335161,9.0,-90.22770215637804,-89.0,0.8384953007381994,2.3098439629468737,11.0,2,12,17.0,3,-90.72467829636818,0.5411661309335045
-90.96076444839112,-90.0,2.1169608111771145,9.0,-90.60247762603464,-99.0,-5.328704385779684,29.753660012463182,11.0,2,12,17.0,3,-90.72467829636818,-0.23608615202293493
-90.88637770899524,-89.0,0.4267334085786049,9.0,-90.85326050209645,-92.98608674168916,-1.256301602142915,1.9724806114530515,11.0,2,12,17.0,3,-90.72467829636818,-0.16169941262705834
-93.94181566953137,-90.0,1.5979054764672382,8.0,-93.51278388259529,-98.0,-0.9317204963149596,2.113665186593288,11.0,2,12,17.0,3,-90.72467829636818,-3.217137373163183
