hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,11,11,-94,7,7,2,11,-95.0,-94.00990089207038,-94.0049725762173,-94.0033177828299,-94.25274086376788,-94.20199015673438,-94.16807283206653,-93.99927890596018,-93.99937050191986,-93.99944194600089,-94.10223087584377,44,-94.15830157576464,-94.00990089207038,-95.0,0.07889630074861405,-2.7460152084185165,8.138620781105178
HDOK,PLOK,17472,12,12,-94,7,7,2,11,-95.0,-93.01980178414075,-93.0099451524346,-93.67220339814062,-94.50499570332234,-94.20279053203618,-94.16873881176505,-93.99984864737208,-93.87284427438756,-93.77378192767607,-93.79702167220898,44,-93.91108835486222,-93.87284427438756,-95.0,0.30860459407414614,-0.05295333189731161,0.34578364337679535
HDOK,PLOK,17472,13,13,-94,7,7,2,11,-95.0,-94.00990089207038,-94.5027374056939,-94.33543448298654,-94.50174424138605,-94.40099331958928,-94.33366023351203,-94.71896322589714,-94.75466152820954,-94.66901218141193,-94.60028348955409,44,-94.52976281821007,-94.5027374056939,-95.0,0.0633123569631529,0.21528885263095687,0.7228240523842047
HDOK,PLOK,17472,14,14,-94,7,7,2,11,-95.0,-95.0,-95.0,-94.6672160837596,-94.50024301210672,-94.3997935391782,-94.33266191510481,-94.71810917082593,-94.75391595828664,-94.66835122899569,-94.59969043783714,44,-94.69454375873589,-94.66835122899569,-95.0,0.05000089785883374,-0.042609701933856055,-0.9949941659092474
HDOK,PLOK,17472,15,15,-94,7,7,2,11,-95.0,-94.00990089207038,-94.0049725762173,-93.6705338665895,-93.75298387587459,-93.80258504745068,-93.6678183931342,-93.86032707712756,-93.87806883438148,-93.89190725637481,-93.80028019681995,44,-93.93994345600368,-93.86032707712756,-95.0,0.12411618532230406,-2.7605812235082707,8.379168069671724
HDOK,PLOK,17472,16,16,-94,6,7,2,11,-95.0,-95.0,-94.00447034104677,-94.3357665996867,-95.0024999792897,-94.8011966285314,-94.66666311159162,-94.57032606743938,-94.49788119812617,-94.44137480710411,-94.70422646713087,44,-94.63858229090425,-94.66666311159162,-95.0,0.08930586609070362,0.5807284277161964,0.09636234161806456
HDOK,PLOK,17472,17,17,-95,6,7,2,11,-95.0,-95.0,-94.50223517052339,-94.66788329984335,-95.25150335690786,-95.0001997913863,-94.83225051303712,-94.71198504007768,-94.62154613832281,-94.55100455277488,-94.49439897342653,44,-94.7848188033,-94.71198504007768,-95.0,0.0566856388662175,-0.5140416719243092,-0.805394530011212
HDOK,PLOK,17472,18,18,-94,6,7,2,11,-95.0,-94.00990089207038,-94.0049725762173,-94.0033177828299,-94.25274086376788,-94.40279150827249,-94.3351564780294,-94.28672424312632,-94.37732709637305,-94.33450283923878,-94.40287042740091,44,-94.31002770066605,-94.33450283923878,-95.0,0.07091608208947965,-1.3795956566263736,3.438734289218239
HDOK,PLOK,17472,19,19,-94,7,7,2,11,-95.0,-93.01980178414075,-93.5077099819112,-94.66988793077807,-94.502246220412,-94.60219585208647,-94.66899342607294,-94.57231963671136,-94.49962153705567,-94.32942390501636,-94.39831326021778,44,-94.34277395767295,-94.502246220412,-95.0,0.29693112009753847,1.6412133632856194,2.3078548670774053
HDOK,PLOK,17472,20,20,-103,5,7,2,11,-103.0,-102.00990089207038,-102.0049725762173,-102.0033177828299,-102.25274086376788,-102.20199015673438,-102.50390429253181,-102.43108692910782,-102.37632871617524,-102.4471114923991,-102.50391061344118,44,-102.33956948320683,-102.37632871617524,-103.0,0.0792403025808703,-0.87593674495267,1.3700892721994116
